Hawaii Ocean Time-series : 29-Apr-2024 01:18:44
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hplc, 
#, mmddyy, hhmmss, dbar, ng/l, 
0170201404, 051090, 072125,  204.4,  28.0,
0170201403, 051090, 071845,  309.1,   0.0,
0180201418, 061490, 111354,    7.0,  70.0,
0180201417, 061490, 111239,   27.2,  42.0,
0180201414, 061490, 111022,   47.3,  80.0,
0180201413, 061490, 110854,   78.1, 144.0,
0180201412, 061490, 110745,   93.2, 186.0,
0180201411, 061490, 110652,  102.6, 350.0,
0180201410, 061490, 110550,  113.8, 296.0,
0180201409, 061490, 110454,  124.1, 216.0,
0180201408, 061490, 110353,  133.7, 178.0,
0180201407, 061490, 110258,  142.7, 146.0,
0180201406, 061490, 110156,  156.5,  83.0,
0180201405, 061490, 110033,  182.0,  30.0,
0180201404, 061490, 105838,  209.4,  12.0,
0180201403, 061490, 105530,  320.8,   1.0,
0190201410, 072690, 110809,    7.2,  70.0,
0190201409, 072690, 110647,   27.8,  91.0,
0190201408, 072690, 110535,   48.2, 112.0,
0190201407, 072690, 110407,   78.4, 258.0,
0190201406, 072690, 110145,  103.7, 248.0,
0190201405, 072690, 110006,  129.3, 154.0,
0190201404, 072690, 105804,  156.6,  84.0,
0190201403, 072690, 105602,  182.3,  35.0,
0220201223, 121990, 164049,    7.1, 117.0,
0220201222, 121990, 163952,   26.9, 118.0,
0220201221, 121990, 163903,   46.3, 116.0,
0220201220, 121990, 163758,   77.1,  99.0,
0220201219, 121990, 163657,  102.3, 201.0,
0220201215, 121990, 163400,  123.1, 234.0,
0220201209, 121990, 163001,  152.3,  81.0,
0220201205, 121990, 162637,  183.3,  11.0,
0230200515, 020391, 155405,    6.7,  97.0,
0230200514, 020391, 155301,   26.5,  91.0,
0230200513, 020391, 155201,   46.6, 102.0,
0230200512, 020391, 155029,   79.6, 176.0,
0230200511, 020391, 154920,  104.2, 274.0,
0230200510, 020391, 154811,  113.5, 280.0,
0230200509, 020391, 154715,  119.5, 250.0,
0230200507, 020391, 154559,  130.5, 202.0,
0230200506, 020391, 154342,  162.4,  93.0,
0230200504, 020391, 154159,  185.0,   8.0,
0240200723, 030891, 224749,    4.5,  72.0,
0240200722, 030891, 224618,   31.1, 114.0,
0240200721, 030891, 224450,   49.6, 181.0,
0240200720, 030891, 224313,   72.9, 300.0,
0240200719, 030891, 224152,  101.7, 266.0,
0240200717, 030891, 223903,  124.6, 182.0,
0240200716, 030891, 223721,  139.5, 133.0,
0240200713, 030891, 223322,  156.0,  60.0,
0240200712, 030891, 223201,  179.9,  65.0,
0250201317, 041191, 094900,    8.2,  79.0,
0250201316, 041191, 094719,   27.7,  81.0,
0250201315, 041191, 094611,   46.9, 118.0,
0250201314, 041191, 094443,   76.9, 192.0,
0250201312, 041191, 094302,   92.1, 217.0,
