Hawaii Ocean Time-series : 24-Jan-2024 02:52:46
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, but19, 
#, mmddyy, hhmmss, dbar, ng/l, 
2030201617, 072808, 070458,   59.7,   5.0,
2040201516, 081808, 065830,   59.5,  10.0,
2050201517, 101208, 070144,   58.2,  14.0,
2060201416, 120208, 065722,   59.1,  13.0,
2080201416, 012209, 085420,   59.1,   8.0,
2100201517, 043009, 065736,   59.7,   4.0,
2120201618, 070509, 065211,   59.6,   9.0,
2150201616, 092609, 065556,   60.0,   9.0,
2170201616, 121109, 065618,   59.1,   4.0,
2190200716, 031110, 001840,   59.7,   6.0,
2200201516, 040810, 065537,   59.4,  12.0,
2220201616, 061010, 070328,   59.7,   7.0,
2240201616, 080910, 065249,   59.9,   8.0,
2270200818, 112210, 053422,   59.7,   8.0,
2310201416, 041311, 080326,   59.6,   3.0,
2330201616, 072111, 065159,   59.8,   6.0,
2340200616, 083111, 070530,   59.6,   7.0,
2370200516, 112911, 115626,   59.6,  23.0,
2380201416, 122111, 055333,   59.4,  11.0,
2390201516, 012012, 064430,   59.4,  14.0,
2400200918, 032612, 112207,   60.0,   7.0,
2420201417, 060112, 065434,   58.9,   7.0,
2430201316, 062812, 070841,   59.6,   4.0,
2510201416, 040713, 064947,   59.8,  17.0,
2520201516, 051913, 065111,   59.8,   6.0,
2560201416, 102913, 070038,   59.5,   7.0,
2580201416, 122213, 070547,   59.4,   6.0,
2640201416, 070214, 070003,   60.0,   7.0,
2670201416, 112314, 070345,   59.8,   8.0,
2680201316, 121814, 065920,   58.9,  10.0,
2690201416, 022615, 071718,   59.9,  14.0,
2700200516, 033015, 104831,   59.0,   6.0,
2710201416, 042315, 065621,   59.8,   6.0,
2750201417, 081415, 070658,   59.9,   8.0,
2790201416, 121015, 070831,   59.3,  12.0,
2810201417, 021116, 070508,   58.6,  10.0,
2840200518, 052916, 114356,   59.4,   4.0,
2850201416, 071316, 065012,   59.7,   6.0,
2860201316, 081116, 065252,   59.9,   9.0,
2890201311, 012517, 070459,   59.4,  21.0,
2900201209, 022417, 083109,   59.9,  17.0,
2910201415, 033017, 065843,   60.0,  10.0,
2920201411, 042717, 064858,   59.9,   8.0,
3030201311, 062818, 070356,   59.9,   4.0,
3050200715, 091118, 101225,   59.7,   7.0,
3090201411, 011719, 071636,   59.7,  11.0,
3100201018, 022119, 072823,   57.3,  21.0,
3110201410, 050419, 065611,   60.0,   8.0,
3120201416, 061319, 065900,   59.2,   6.0,
3130201414, 070319, 065640,   59.4,   2.0,
3140201414, 080419, 072205,   59.1,   6.0,
3160201312, 101919, 064652,   59.0,   8.0,
3170200715, 122019, 101405,   58.8,   9.0,
3180200613, 010820, 132203,   60.0,  10.0,
3190201211, 020120, 081005,   59.3,  10.0,
3210201611, 081020, 070020,   59.6,  13.0,
3220201811, 090520, 065507,   59.8,   4.0,
3230201511, 092920, 070632,   58.3,   4.0,
3250201412, 122020, 064121,   59.8,   9.0,
3260201411, 011421, 071355,   59.1,   6.0,
3270201411, 021821, 070619,   58.5,  10.0,
3300201421, 051821, 065945,   58.2,   6.0,
3330201715, 103121, 070232,   59.9,   6.0,
