Hawaii Ocean Time-series : 11-Aug-2023 02:31:37
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, no2, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0500201507, 103093, 112217,  194.6,    5.9,
0520201124, 021894, 020158,    3.8,    0.0,
0520201122, 021894, 020029,   13.7,    0.0,
0520201120, 021894, 015849,   25.3,    0.2,
0520201118, 021894, 015619,   34.5,    0.0,
0520201117, 021894, 015514,   44.6,    0.1,
0520201116, 021894, 015411,   54.4,    0.1,
0520201115, 021894, 015314,   64.4,    0.8,
0520201114, 021894, 015215,   74.7,    6.3,
0520201113, 021894, 015122,   84.5,    0.1,
0520201112, 021894, 015032,   94.7,    0.2,
0520201111, 021894, 014933,  104.7,    0.3,
0520201110, 021894, 014837,  114.7,    0.3,
0520201109, 021894, 014727,  125.8,    0.3,
0520201108, 021894, 014603,  149.8,   61.6,
0520201107, 021894, 014457,  169.8,   28.1,
0520201106, 021894, 014352,  189.4,   17.1,
0520201924, 021994, 030943,    8.3,    0.0,
0520201923, 021994, 030833,   25.0,    0.0,
0520201922, 021994, 030721,   35.2,    0.3,
0520201921, 021994, 030611,   45.0,    0.5,
0520201920, 021994, 030515,   55.2,    0.1,
0520201919, 021994, 030408,   65.2,   11.9,
0520201918, 021994, 030257,   75.3,   21.4,
0520201917, 021994, 030143,   85.1,   26.7,
0520201916, 021994, 030037,   96.4,    7.9,
0520201915, 021994, 025910,  111.1,   77.4,
0520201914, 021994, 025804,  121.4,   80.8,
0520201913, 021994, 025706,  128.9,   56.7,
0520201912, 021994, 025600,  143.8,   33.6,
0520201911, 021994, 025456,  159.3,   15.1,
0520201910, 021994, 025324,  184.7,   11.2,
0520201909, 021994, 025212,  199.6,    9.6,
0570201924, 092594, 053549,    5.0,    0.6,
0570201923, 092594, 053425,   24.6,    0.0,
0570201922, 092594, 053211,   75.0,    0.2,
0570201921, 092594, 053106,   90.3,    0.4,
0570201920, 092594, 052945,   99.4,    0.4,
0570201919, 092594, 052840,  104.5,    0.3,
0570201918, 092594, 052731,  109.9,    0.0,
0570201917, 092594, 052643,  115.2,    0.8,
0570201916, 092594, 052604,  119.2,    7.3,
0570201915, 092594, 052509,  125.1,  212.6,
0570201914, 092594, 052418,  130.3,  238.1,
0570201913, 092594, 052325,  135.6,  224.1,
0570201912, 092594, 052226,  140.7,   72.3,
0570201911, 092594, 052142,  144.8,   25.4,
0570201910, 092594, 052057,  149.6,   32.1,
0570201909, 092594, 052016,  154.7,   36.4,
0570201908, 092594, 051924,  159.5,   37.1,
0570201907, 092594, 051818,  170.1,   30.5,
0570201906, 092594, 051656,  184.6,   25.1,
