Hawaii Ocean Time-series : 12-Sep-2023 23:56:22
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, atp, 
#, mmddyy, hhmmss, dbar, ng/kg, 
0160201006, 041390, 190440,  180.3,  17.61,
0170201012, 050990, 185456,    7.3,  25.06,
0170201011, 050990, 185350,   27.4,  29.53,
0170201010, 050990, 185247,   43.2,  33.92,
0170201009, 050990, 185116,   78.9,  36.79,
0170201008, 050990, 184956,  104.7,  26.43,
0170201007, 050990, 184846,  130.4,  24.08,
0170201006, 050990, 184719,  159.0,  13.71,
0170201005, 050990, 184601,  184.6,   7.44,
0180200919, 061390, 200633,    6.0,  31.53,
0180200918, 061390, 200459,   26.5,  32.86,
0180200917, 061390, 200355,   46.4,  34.50,
0180200916, 061390, 200242,   77.3,  35.15,
0180200915, 061390, 200133,  102.9,  31.08,
0180200914, 061390, 200022,  128.4,  17.22,
0180200913, 061390, 195911,  153.8,  12.81,
0180200912, 061390, 195759,  179.8,  17.30,
0190200913, -00009, -00009,    6.6,  29.69,
0190200911, 072590, 184322,   27.5,  25.63,
0190200910, 072590, 184154,   46.3,  29.42,
0190200909, 072590, 184019,   76.1,  30.50,
0190200908, 072590, 183856,  105.5,  28.21,
0190200907, 072590, 183748,  128.1,  17.68,
0190200906, 072590, 183629,  156.6,   8.96,
0190200905, 072590, 183513,  181.3,   6.59,
0220200822, 121890, 194417,   28.3,  35.86,
0220200821, 121890, 194259,   48.4,  25.73,
0220200820, 121890, 194147,   77.9,  28.04,
0220200819, 121890, 194040,  102.4,  23.75,
0220200815, 121890, 193724,  127.1,  11.40,
0220200810, 121890, 193350,  155.6,  10.97,
0220200805, 121890, 193007,  182.8,  16.63,
0230200816, 020491, 080928,    8.0,  22.26,
0230200815, 020491, 080805,   27.3,  22.87,
0230200814, 020491, 080641,   51.6,  28.82,
0230200813, 020491, 080503,   79.4,  30.34,
0230200812, 020491, 080333,   99.8,  22.98,
0230200811, 020491, 080206,  125.1,  22.18,
0230200807, 020491, 075805,  151.5,   8.97,
0230200806, 020491, 075516,  183.1,  13.89,
0240200615, 030891, 054858,    6.6,  22.72,
0240200614, 030891, 054711,   23.7,   9.10,
0240200613, 030891, 054550,   45.4,  15.46,
0240200612, 030891, 054424,   74.4,  13.56,
0240200611, 030891, 054246,  101.7,   8.47,
0240200610, 030891, 054056,  129.9,  10.52,
0240200608, 030891, 053834,  144.7,   7.58,
0240200606, 030891, 053646,  156.4,   5.02,
0240200605, 030891, 053453,  178.0,  16.72,
0250200923, 041091, 200942,    6.4,  27.52,
0250200921, 041091, 200800,   27.8,  27.95,
0250200920, 041091, 200655,   48.6,  32.46,
0250200918, 041091, 200514,   78.7,  29.29,
0250200916, 041091, 200324,  104.6,  17.96,
0250200914, 041091, 200150,  129.8,  11.40,
0250200912, 041091, 200008,  156.7,   4.68,
0250200911, 041091, 195857,  183.5,   5.66,
0260200923, 050991, 213430,    6.7,  23.81,
0260200921, 050991, 213246,   27.1,  33.31,
0260200917, 050991, 212810,   47.8,  38.91,
0260200912, 050991, 212154,   79.4,  38.17,
0260200910, 050991, 211946,  104.4,  31.97,
0260200908, 050991, 211745,  130.8,  31.95,
0260200907, 050991, 211625,  157.7,  23.95,
0260200906, 050991, 211509,  181.9,  13.44,
0270201011, 060591, 202806,   50.5,  17.50,
0270201010, 060591, 202650,   78.2,  24.00,
0270201008, 060591, 202453,  105.2,  28.98,
0270201007, 060591, 202335,  132.1,  18.33,
0270201006, 060591, 202217,  157.8,  19.62,
0270201005, 060591, 202049,  184.8,   8.50,
0270201105, 060591, 230759,   26.8,  19.71,
0270201104, 060591, 230535,   98.4,  31.01,
0280200912, 071191, 001832,    8.9,  28.45,
0280200911, 071191, 001721,   28.7,  32.31,
0280200910, 071191, 001608,   49.1,  26.76,
0280200909, 071191, 001442,   80.0,  32.53,
0280200908, 071191, 001327,  102.8,  31.42,
0280200907, 071191, 001157,  130.5,  11.08,
0280200906, 071191, 001026,  158.2,   9.80,
0290200914, 081091, 205535,    7.7,  18.62,
0290200913, 081091, 205431,   27.2,  25.63,
0290200912, 081091, 205329,   47.3,  35.24,
0290200911, 081091, 205203,   78.5,  30.67,
0290200910, 081091, 205049,  104.3,  22.36,
0290200909, 081091, 204936,  131.2,  12.89,
0290200908, 081091, 204819,  157.1,  11.88,
0290200907, 081091, 204711,  180.9,   6.04,
0300201023, 091891, 201403,   12.3,  19.81,
0300201011, 091891, 200759,   32.1,  21.58,
0300201010, 091891, 200648,   51.9,  19.23,
0300201009, 091891, 200518,   81.7,  20.40,
0300201008, 091891, 200402,  106.6,  16.34,
0300201007, 091891, 200231,  131.2,  12.20,
0300201006, 091891, 200104,  161.2,   6.27,
0300201005, 091891, 195903,  183.0,   5.92,
0310200818, 102191, 210331,    4.7,  22.99,
0310200816, 102191, 210153,   24.0,  29.77,
0310200814, 102191, 210027,   44.2,  30.09,
0310200812, 102191, 205837,   74.9,  20.50,
0310200810, 102191, 205705,  100.3,  13.53,
0310200807, 102191, 205446,  125.9,   9.40,
0310200806, 102191, 205247,  150.6,   8.72,
0310200805, 102191, 205126,  175.2,   7.55,
0320201123, 120691, 222552,    8.2,  29.00,
0320201120, 120691, 222338,   27.9,  30.87,
0320201118, 120691, 222126,   48.6,  51.08,
0320201117, 120691, 222018,   78.4,  28.36,
0320201115, 120691, 221748,  104.6,  12.60,
0320201114, 120691, 221630,  128.5,   8.86,
0320201113, 120691, 221432,  155.5,   4.50,
0320201112, 120691, 221309,  175.4,   4.41,
0330201014, -00009, -00009,    6.1,  22.74,
0330201013, -00009, -00009,   26.5,  38.49,
0330201012, -00009, -00009,   45.7,  35.61,
0330201011, -00009, -00009,   76.2,  25.08,
0330201010, -00009, -00009,   99.8,  16.33,
0330201009, -00009, -00009,  125.7,  10.74,
0330201007, -00009, -00009,  151.0,   6.85,
0330201006, -00009, -00009,  171.7,   7.80,
0340200723, 021492, 211031,    8.8,  18.46,
0340200722, 021492, 210918,   29.3,  18.09,
0340200721, 021492, 210811,   48.4,  23.38,
0340200720, 021492, 210648,   78.2,  20.19,
0340200718, 021492, 210457,  103.8,  21.62,
0340200717, 021492, 210331,  127.1,   8.73,
0340200716, 021492, 205624,  151.4,   8.03,
0340200714, 021492, 205403,  177.0,   4.43,
0350200911, -00009, -00009,    6.7,  21.92,
0350200910, -00009, -00009,   27.0,  25.10,
0350200909, -00009, -00009,   77.6,  24.06,
0350200908, -00009, -00009,  103.1,  21.32,
0350200907, -00009, -00009,  128.7,  20.08,
0350200906, -00009, -00009,  154.7,  14.54,
0350200905, -00009, -00009,  179.6,   8.60,
0360201022, -00009, -00009,    8.4,  24.97,
0360201020, -00009, -00009,   27.6,  14.69,
0360201019, -00009, -00009,   48.2,  52.16,
0360201017, -00009, -00009,   78.0,  27.09,
0360201016, -00009, -00009,  102.8,  28.01,
0360201014, -00009, -00009,  123.6,  26.70,
0360201010, -00009, -00009,  151.7,   7.75,
0360201008, -00009, -00009,  177.4,   5.86,
0360201220, -00009, -00009,    7.5,  21.29,
0360201215, -00009, -00009,   27.9,  24.08,
0370201015, -00009, -00009,   11.0,  33.27,
0370201014, 061092, 020454,   30.1,  30.15,
0370201013, 061092, 020346,   47.9,  36.42,
0370201012, 061092, 020243,   76.8,  16.49,
0370201011, 061092, 020124,  102.4,  23.12,
0370201009, 061092, 015919,  128.5,  12.75,
0370201008, 061092, 015835,  133.2,  13.96,
0370201007, 061092, 015752,  152.4,   7.03,
0370201006, 061092, 015653,  172.3,   5.63,
0380200913, 070592, 170414,    9.9,  19.79,
0380200912, 070592, 170306,   31.8,  24.64,
0380200911, 070592, 170208,   48.6,  27.93,
0380200910, 070592, 170108,   78.5,  18.32,
0380200909, 070592, 165954,  102.6,  25.60,
0380200908, 070592, 165839,  127.8,  14.66,
0380200907, 070592, 165739,  154.1,  10.54,
0380200906, 070592, 165636,  179.4,   6.45,
0390201715, 080692, 221017,    8.6,  18.51,
0390201714, 080692, 220919,   29.8,  31.37,
0390201713, 080692, 220826,   48.4,  23.37,
0390201712, 080692, 220658,   79.1,  27.04,
0390201711, 080692, 220532,  104.8,  26.33,
0390201709, 080692, 220334,  129.8,  16.24,
0390201708, 080692, 220227,  165.4,   9.13,
0400201019, -00009, -00009,    7.4,  18.20,
0400201018, -00009, -00009,   25.5,  30.21,
0400201017, -00009, -00009,   45.4,  35.74,
0400201016, -00009, -00009,   45.4,  23.15,
0400201015, -00009, -00009,  100.2,  21.71,
0400201014, -00009, -00009,  105.2,  22.70,
0400201013, -00009, -00009,  110.1,  24.89,
0400201012, -00009, -00009,  115.2,  17.77,
0400201011, -00009, -00009,  120.2,  14.71,
0400201010, -00009, -00009,  124.8,  15.30,
0400201008, -00009, -00009,  151.2,   8.60,
0400201007, -00009, -00009,  175.9,   6.52,
0410201024, -00009, -00009,    5.8,  28.00,
0410201018, -00009, -00009,   25.7,  20.04,
0410201015, -00009, -00009,   44.5,  27.31,
0410201013, -00009, -00009,   74.8,  20.46,
0410201011, -00009, -00009,   99.5,  22.40,
0410201008, -00009, -00009,  126.2,  19.59,
0410201006, -00009, -00009,  150.1,  17.08,
0410201005, -00009, -00009,  175.4,   5.76,
0440200812, 012093, 200615,    4.3,  16.54,
0440200811, 012093, 200450,   25.0,  25.43,
0440200810, 012093, 200347,   44.2,  28.18,
0440200809, 012093, 200226,   75.5,  24.32,
0440200808, 012093, 200114,   98.6,  18.58,
0440200807, 012093, 195958,  123.6,  15.85,
0440200806, 012093, 195830,  149.6,   6.78,
0440200805, 012093, 195657,  174.1,   5.48,
0450201023, 021793, 192749,    5.1,  30.96,
0450201022, 021793, 192543,   25.1,  32.65,
0450201021, 021793, 192412,   45.3,  35.35,
0450201020, 021793, 192238,   65.1,  35.41,
0450201019, 021793, 192120,   69.3,  43.17,
0450201018, 021793, 191956,   74.4,  34.31,
0450201017, 021793, 191843,   79.6,  34.37,
0450201016, 021793, 191729,   84.8,  31.17,
0450201015, 021793, 191557,   99.7,  24.47,
0450201014, 021793, 191417,  124.6,  10.83,
0450201013, 021793, 191255,  150.1,   7.37,
0450201012, 021793, 191116,  173.9,   9.54,
0460200722, 041493, 220916,   25.5,  29.93,
0460200721, 041493, 220754,   46.6,  37.77,
0460200719, 041493, 220608,   74.5,  30.90,
0460200718, 041493, 220452,   99.3,  28.19,
0460200717, 041493, 220339,  124.1,  31.63,
0460200716, 041493, 220237,  139.8,  18.64,
0460200711, 041493, 215931,  175.4,   8.28,
0460200710, 041493, 215802,  180.2,  11.49,
0470201219, 052193, 110342,    5.0,  52.85,
0470201217, 052193, 110136,   25.1,  64.79,
0470201216, 052193, 110020,   46.0,  61.81,
0470201215, 052193, 105843,   73.6,  60.36,
0470201214, 052193, 105706,   98.8,  48.70,
0470201213, 052193, 105602,  108.8,  35.39,
0470201212, 052193, 105458,  123.9,  32.11,
0470201211, 052193, 105325,  148.7,  18.75,
0470201210, 052193, 105203,  174.4,  13.69,
0490201122, 091493, 193954,    6.0,  20.11,
0490201121, 091493, 193757,   25.6,  27.58,
0490201120, 091493, 193603,   46.0,  26.15,
0490201118, 091493, 193242,   76.6,  35.47,
0490201117, 091493, 193054,  101.5,  29.21,
0490201111, 091493, 192447,  122.7,  20.97,
0490201108, 091493, 191958,  152.8,   7.86,
0490201107, 091493, 191802,  176.3,   6.53,
0500201120, 102993, 235901,    5.9,  27.95,
0500201119, 102993, 235711,   25.9,  27.57,
0500201118, 102993, 235532,   46.9,  33.75,
0500201116, 102993, 235238,   74.9,  35.42,
0500201115, 102993, 235107,  101.2,  22.80,
0500201110, 102993, 234634,  123.9,  14.86,
0500201107, 102993, 234211,  152.3,  10.90,
0500201106, 102993, 233912,  182.0,   5.43,
0510201013, 012194, 032811,    6.9,  55.51,
0510201012, 012194, 032635,   26.6,  57.29,
0510201011, 012194, 032520,   46.7,  51.97,
0510201009, 012194, 032309,   78.0,  46.90,
0510201008, 012194, 032159,  102.5,  40.30,
0510201007, 012194, 032036,  125.3,  24.12,
0510201006, 012194, 031919,  151.6,  10.13,
0510201005, 012194, 031811,  176.4,  10.88,
0520201013, 021794, 232319,    4.8,  38.85,
0520201012, 021794, 232153,   24.7,  40.73,
0520201011, 021794, 232044,   44.5,  38.63,
0520201010, 021794, 231911,   74.7,  34.05,
0520201009, 021794, 231812,   84.9,  37.40,
0520201008, 021794, 231649,  100.1,  25.23,
0520201007, 021794, 231512,  125.5,  20.96,
0520201006, 021794, 231322,  151.2,  12.48,
0520201005, 021794, 231157,  175.8,   8.01,
0520201004, 021794, 231047,  182.3,   8.93,
0530201222, 031094, 001448,    5.2,  47.97,
0530201214, 031094, 000946,   24.8,  59.16,
0530201211, 031094, 000628,   44.3,  63.24,
0530201210, 031094, 000415,   74.6,  56.86,
0530201209, 031094, 000223,  100.2,  58.79,
0530201208, 031094, 000006,  123.6,  33.10,
0530201207, 030994, 235812,  150.0,  23.95,
0530201206, 030994, 235629,  175.5,  14.72,
0540200920, 061994, 105523,    5.2,  62.48,
0540200919, 061994, 105348,   25.0,  74.91,
0540200918, 061994, 105248,   44.7,  91.94,
0540200914, 061994, 105020,   75.1,  92.31,
0540200913, 061994, 104902,  100.4,  89.02,
0540200912, 061994, 104736,  124.7,  83.22,
0540200910, 061994, 104542,  148.8,  40.84,
0540200909, 061994, 104447,  175.0,  22.32,
0550200919, 072694, 001335,    5.0,  37.58,
0550200918, 072694, 001202,   25.0,  42.18,
0550200917, 072694, 001027,   44.8,  51.04,
0550200916, 072694, 000837,   74.3,  50.62,
0550200915, 072694, 000700,   89.9,  38.31,
0550200914, 072694, 000546,  100.4,  27.63,
0550200913, 072694, 000418,  110.2,  24.13,
0550200912, 072694, 000235,  126.1,  15.82,
0550200909, 072694, 000022,  150.4,  10.64,
0550200908, 072594, 235822,  174.6,   9.01,
0560201016, 083094, 222228,    5.1,  41.03,
0560201015, 083094, 222128,   24.8,  23.25,
0560201014, 083094, 222024,   45.2,  47.15,
0560201013, 083094, 221918,   75.5,  43.35,
0560201012, 083094, 221823,   99.7,  39.78,
0560201011, 083094, 221728,  114.7,  29.16,
0560201010, 083094, 221644,  119.8,  25.30,
0560201009, 083094, 221604,  124.6,  26.51,
0560201008, 083094, 221525,  130.2,  24.46,
0560201007, 083094, 221408,  150.7,  14.82,
0560201006, 083094, 221239,  175.7,  10.36,
0570200916, 092394, 231406,    5.1,  39.90,
0570200915, 092394, 231223,   24.5,  52.51,
0570200914, 092394, 231019,   45.4,  54.22,
0570200913, 092394, 230851,   75.3,  58.65,
0570200912, 092394, 230738,   99.4,  46.90,
0570200911, 092394, 230639,  105.4,  46.19,
0570200910, 092394, 230549,  109.5,  43.94,
0570200909, 092394, 230437,  115.9,  48.12,
0570200908, 092394, 230349,  120.4,  38.18,
0570200907, 092394, 230257,  126.2,  36.54,
0570200906, 092394, 230141,  150.2,  31.37,
0570200905, 092394, 230042,  175.3,  27.95,
0580200917, 101594, 175718,    4.6,  30.76,
0580200916, 101594, 175550,   24.8,  29.27,
0580200915, 101594, 175436,   44.7,  26.73,
0580200914, 101594, 175325,   75.0,  30.96,
0580200913, 101594, 175158,  100.1,  25.00,
0580200912, 101594, 175100,  105.0,  23.80,
0580200911, 101594, 174953,  109.9,  22.42,
0580200910, 101594, 174856,  115.0,  33.33,
0580200909, 101594, 174757,  120.5,  27.65,
0580200908, 101594, 174706,  125.6,  29.92,
0580200907, 101594, 174545,  149.9,  26.08,
0580200906, 101594, 174426,  175.6,  27.58,
0590200220, 111994, 225442,    7.6,  71.64,
0590200219, 111994, 225300,   26.1,  62.67,
0590200218, 111994, 225113,   49.3,  52.88,
0590200211, 111994, 224549,   77.7,  62.26,
0590200210, 111994, 224407,  100.4,  61.33,
0590200209, 111994, 224224,  106.2,  56.00,
0590200208, 111994, 224053,  128.2,  40.27,
0590200207, 111994, 223919,  156.1,  22.82,
0590200206, 111994, 223653,  180.6,  18.21,
0600200922, 020795, 175453,    4.9,  87.53,
0600200921, 020795, 175327,   24.3,  99.88,
0600200920, 020795, 175207,   44.6,  74.14,
0600200919, 020795, 175051,   73.1,  95.04,
0600200918, 020795, 174930,  100.3,  70.99,
0600200917, 020795, 174816,  123.1,  76.20,
0600200916, 020795, 174633,  148.6,  39.91,
0600200915, 020795, 173818,  173.8,  27.48,
0610200912, 030495, 233620,    5.2,  30.44,
0610200911, 030495, 233439,   25.1,  32.71,
0610200910, 030495, 233233,   45.4,  28.11,
0610200909, 030495, 233043,   76.6,  37.43,
0610200908, 030495, 232904,   99.8,  35.49,
0610200907, 030495, 232707,  125.1,  14.09,
0610200906, 030495, 232529,  149.3,   8.56,
0610200905, 030495, 232351,  174.3,   7.60,
0620201116, 040795, 010225,    5.0,  38.96,
0620201115, 040795, 010102,   24.9,  37.97,
0620201114, 040795, 005937,   45.0,  39.04,
0620201113, 040795, 005756,   74.4,  37.18,
0620201112, 040795, 005620,   99.6,  26.28,
0620201111, 040795, 005508,  109.8,  21.54,
0620201110, 040795, 005358,  125.2,  25.74,
0620201109, 040795, 005234,  140.4,  17.09,
0620201108, 040795, 005126,  150.1,  14.49,
0620201107, 040795, 004953,  160.3,  13.04,
0620201106, 040795, 004842,  175.1,   9.69,
0630201015, 050795, 235334,    5.3,  23.06,
0630201013, 050795, 235157,   24.3,  38.02,
0630201012, 050795, 235051,   44.7,  30.53,
0630201010, 050795, 234922,   75.3,  30.74,
0630201009, 050795, 234806,   99.4,  37.85,
0630201007, 050795, 234627,  124.7,  18.50,
0630201006, 050795, 234502,  161.5,  10.00,
0630201005, 050795, 234354,  175.8,   8.96,
0640200219, 072995, 220402,    4.5,  53.28,
0640200218, 072995, 220237,   25.6,  75.54,
0640200217, 072995, 220104,   46.0, 110.72,
0640200215, 072995, 215827,   74.4,  76.86,
0640200213, 072995, 215529,   99.4,  80.48,
0640200211, 072995, 215150,  126.7,  65.56,
0640200210, 072995, 214923,  153.6,  28.50,
0640200209, 072995, 214735,  176.3,  25.15,
0650200919, 082895, 222918,    4.3,  28.98,
0650200918, 082895, 222814,   10.0,  20.85,
0650200917, 082895, 222702,   24.2,  27.61,
0650200916, 082895, 222508,   44.1,  28.04,
0650200915, 082895, 222322,   59.8,  36.87,
0650200914, 082895, 222210,   74.6,  34.29,
0650200912, 082895, 221919,  100.3,  33.63,
0650200911, 082895, 221758,  109.2,  28.30,
0650200909, 082895, 221627,  124.5,  28.69,
0650200907, 082895, 221255,  150.7,  13.79,
0650200906, 082895, 221126,  176.0,  12.96,
0660200923, 092795, 190700,    4.4,  27.26,
0660200921, 092795, 190453,   25.2,  23.87,
0660200920, 092795, 190335,   44.3,  33.74,
0660200919, 092795, 190202,   75.2,  50.45,
0660200915, 092795, 185846,   99.2,  39.17,
0660200912, 092795, 185527,  124.4,  33.86,
0660200908, 092795, 185201,  149.2,  19.81,
0660200905, 092795, 184839,  175.8,  11.23,
0670201014, 102795, 174816,    5.3,  33.49,
0670201013, 102795, 174701,   24.8,  35.26,
0670201012, 102795, 174602,   44.5,  35.15,
0670201011, 102795, 174454,   74.6,  36.22,
0670201010, 102795, 174334,   99.8,  41.23,
0670201009, 102795, 174232,  120.5,  41.02,
0670201008, 102795, 174152,  124.9,  38.96,
0670201007, 102795, 174106,  129.5,  39.78,
0670201006, 102795, 174001,  148.8,  18.72,
0670201005, 102795, 173842,  175.7,  10.03,
0670201004, 102795, 173738,  199.9,   7.34,
0680201015, 111795, 175330,    4.6,  26.90,
0680201014, 111795, 175214,   24.3,  30.03,
0680201013, 111795, 175114,   45.1,  25.44,
0680201012, 111795, 174936,   74.5,  36.62,
0680201011, 111795, 174845,   84.6,  28.92,
0680201010, 111795, 174758,   89.8,  28.47,
0680201009, 111795, 174716,   94.4,  24.27,
0680201008, 111795, 174632,   99.1,  19.04,
0680201007, 111795, 174523,  124.1,  10.46,
0680201006, 111795, 174344,  149.1,   5.62,
0680201005, 111795, 174202,  175.5,   5.77,
0690201114, 011796, 195520,    4.6,  30.22,
0690201113, 011796, 195338,   25.3,  30.08,
0690201112, 011796, 195200,   45.5,  31.45,
0690201111, 011796, 195004,   75.1,  35.25,
0690201110, 011796, 194808,   99.5,  31.69,
0690201109, 011796, 194710,  105.3,  27.22,
0690201108, 011796, 194544,  110.6,  37.84,
0690201107, 011796, 194440,  123.7,  14.35,
0690201106, 011796, 194304,  149.1,  10.56,
0690201105, 011796, 194118,  177.5,   7.44,
0700201015, 032796, 200735,    4.3,  20.49,
0700201014, 032796, 200619,   24.6,  26.49,
0700201013, 032796, 200447,   45.0,  25.76,
0700201011, 032796, 200159,   74.6,  28.39,
0700201010, 032796, 200021,   85.1,  26.77,
0700201009, 032796, 195851,  100.1,  31.41,
0700201007, 032796, 195611,  125.1,  17.94,
0700201006, 032796, 195429,  150.7,   8.43,
0700201005, 032796, 195207,  175.5,   5.72,
0710201012, 042496, 185513,    4.2,  31.02,
0710201011, 042496, 185407,   25.2,  34.53,
0710201010, 042496, 185255,   44.4,  44.37,
0710201009, 042496, 185127,   74.1,  28.89,
0710201008, 042496, 185009,  100.0,  35.20,
0710201007, 042496, 184847,  124.4,  24.79,
0710201006, 042496, 184737,  149.8,  15.27,
0710201005, 042496, 184627,  175.1,   8.85,
0720200612, 052296, 175236,    5.0,  26.89,
0720200611, 052296, 175118,   24.8,  19.81,
0720200610, 052296, 175014,   44.5,  28.07,
0720200609, 052296, 174856,   75.1,  17.93,
0720200607, 052296, 174624,  125.3,  24.29,
0720200606, 052296, 174520,  149.7,  13.52,
0720200605, 052296, 174404,  175.4,   9.93,
0730201112, 062696, 214845,   24.8,  30.31,
0730201111, 062696, 214733,   44.9,  28.15,
0730201110, 062696, 214611,   74.9,  41.81,
0730201109, 062696, 214509,   99.6,  36.41,
0730201108, 062696, 214347,  125.1,  31.10,
