Hawaii Ocean Time-series : 07-Sep-2023 21:39:02
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, p15n, 
#, mmddyy, hhmmss, dbar, permil, 
1300200414, 100201, 004646,    4.7,  -1.22,
1300200413, 100201, 004536,   25.1,  -1.27,
1300200412, 100201, 004436,   44.9,  -0.55,
1300200411, 100201, 004326,   75.9,  -0.76,
1300200410, 100201, 004221,  100.0,   0.05,
1300200409, 100201, 004121,  125.1,   0.87,
1300200408, 100201, 004006,  149.6,   3.48,
1300200407, 100201, 003906,  174.3,   3.78,
1310200514, 102301, 040431,    5.0,  -0.99,
1310200513, 102301, 040246,   26.5,  -0.75,
1310200512, 102301, 040116,   45.4,  -0.75,
1310200511, 102301, 035931,   75.5,   0.34,
1310200510, 102301, 035801,  100.1,   1.39,
1310200509, 102301, 035616,  124.7,   4.61,
1310200508, 102301, 035421,  150.1,   4.92,
1310200507, 102301, 034901,  174.3,   6.51,
1320200514, 111701, 035320,    3.9,  -0.57,
1320200513, 111701, 035151,   24.2,  -0.68,
1320200512, 111701, 035031,   43.6,  -0.67,
1320200511, 111701, 034901,   74.1,  -0.57,
1320200510, 111701, 034731,   98.9,   1.21,
1320200509, 111701, 034601,  125.2,   1.81,
1320200508, 111701, 034406,  150.9,   4.80,
1320200507, 111701, 034246,  172.4,   4.74,
1320200506, 111701, 034116,  199.3,   4.79,
1330200222, 121501, 092610,    4.3,   0.41,
1330200220, 121501, 092425,   26.2,   0.03,
1330200219, 121501, 092300,   44.6,  -0.22,
1330200218, 121501, 092125,   75.7,  -0.03,
1330200217, 121501, 091945,   99.7,   0.50,
1330200215, 121501, 091755,  125.7,   5.08,
1330200213, 121501, 091611,  149.1,   5.40,
1330200211, 121501, 091411,  176.3,   7.31,
1330200209, 121501, 091225,  199.5,   5.14,
1340200514, 011602, 035049,    4.9,   0.38,
1340200513, 011602, 034854,   23.7,   0.04,
1340200512, 011602, 034727,   45.0,  -0.14,
1340200511, 011602, 034529,   74.3,   2.79,
1340200510, 011602, 034349,   98.6,  -0.16,
1340200509, 011602, 034239,  125.7,  -0.12,
1340200508, 011602, 034119,  150.3,   2.12,
1340200507, 011602, 034004,  173.6,   3.78,
1340200506, 011602, 033834,  199.0,   6.08,
1350200518, 022102, 035446,    4.5,   0.57,
1350200516, 022102, 035311,   24.5,   0.81,
1350200515, 022102, 035206,   44.2,  -0.82,
1350200513, 022102, 035006,   75.8,   1.02,
1350200511, 022102, 034815,   98.9,   1.51,
1350200510, 022102, 034651,  123.8,   3.52,
1350200508, 022102, 034501,  149.2,   5.58,
1350200507, 022102, 034326,  175.4,   6.31,
1350200506, 022102, 034151,  198.1,   6.01,
1360200615, 031302, 034957,    4.6,   0.10,
1360200614, 031302, 034828,   24.6,   0.06,
