Hawaii Ocean Time-series : 05-Sep-2023 23:00:10
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, doc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0530201510, 031094, 085103,  141.0,  74.41,
0530201509, 031094, 085009,  145.1,  69.82,
0530201508, 031094, 084919,  150.0,  62.59,
0530201507, 031094, 084827,  154.6,  66.20,
0530201506, 031094, 084732,  160.5,  67.96,
0530201505, 031094, 084637,  176.1,  67.18,
0540201321, 061994, 230633,    5.1, 100.70,
0540201320, 061994, 230503,   14.9,  88.20,
0540201318, 061994, 230339,   24.7,  86.54,
0540201317, 061994, 230219,   35.3,  93.37,
0540201316, 061994, 230056,   44.6, 101.28,
0540201315, 061994, 225936,   59.7, 100.49,
0540201314, 061994, 225807,   75.4,  91.40,
0540201313, 061994, 225646,   84.7,  94.23,
0540201312, 061994, 225524,   95.7,  85.74,
0540201311, 061994, 225403,  105.1,  83.79,
0540201310, 061994, 225242,  113.8,  82.76,
0540201309, 061994, 225114,  125.3,  86.61,
0540201308, 061994, 224943,  136.6,  90.32,
0540201307, 061994, 224807,  150.6,  81.14,
0540201306, 061994, 224639,  157.4,  74.80,
0540201305, 061994, 224509,  175.1,  56.05,
0540201304, 061994, 224325,  185.2,  54.39,
0550200423, 072594, 080830,    4.7,  90.05,
0550200422, 072594, 080712,   14.8,  84.39,
0550200420, 072594, 080534,   24.6,  93.47,
0550200419, 072594, 080425,   34.2,  81.26,
0550200418, 072594, 080309,   43.8,  93.67,
0550200417, 072594, 080147,   59.8,  84.48,
0550200416, 072594, 080028,   74.3,  82.72,
0550200414, 072594, 075845,   84.3,  86.72,
0550200413, 072594, 075707,   94.9,  74.31,
0550200412, 072594, 075548,  104.2,  63.77,
0550200411, 072594, 075431,  115.3,  64.25,
0550200410, 072594, 075215,  124.2,  60.54,
0550200409, 072594, 075043,  134.4,  64.84,
0550200407, 072594, 074814,  149.6,  54.68,
0550200405, 072594, 074516,  175.0,  73.83,
0560200522, 083094, 064545,    4.4,  90.05,
0560200521, 083094, 064533,    4.5,  88.49,
0560200520, 083094, 064429,   14.6,  85.56,
0560200519, 083094, 064327,   25.2,  83.80,
0560200517, 083094, 064204,   35.2,  81.55,
0560200516, 083094, 064059,   44.6,  81.41,
0560200515, 083094, 063939,   59.6,  77.35,
0560200514, 083094, 063820,   75.9,  76.07,
0560200513, 083094, 063710,   85.0,  71.48,
0560200512, 083094, 063552,   94.4,  67.97,
0560200511, 083094, 063441,  105.5,  66.69,
0560200510, 083094, 063309,  115.0,  62.50,
0560200509, 083094, 063142,  125.1,  59.76,
0560200508, 083094, 063030,  135.4,  60.54,
0560200507, 083094, 062910,  150.4,  60.06,
0560200505, 083094, 062619,  175.6,  56.84,
0560201424, 083194, 101551,    5.1,  84.00,
0560201423, 083194, 101438,    9.9,  82.73,
0560201422, 083194, 101311,   25.4,  81.07,
0560201420, 083194, 101014,   45.0,  78.43,
0560201419, 083194, 100843,   59.8,  74.71,
0560201418, 083194, 100705,   74.4,  68.84,
0560201416, 083194, 100402,  100.2,  63.67,
0560201412, 083194, 095853,  149.6,  64.45,
0560201411, 083194, 095718,  165.6,  63.77,
0560201410, 083194, 095608,  174.8,  63.08,
0570200421, 092394, 080726,    5.4,  86.64,
0570200420, 092394, 080632,   15.1,  95.04,
0570200418, 092394, 080522,   25.0,  89.47,
0570200417, 092394, 080414,   35.0,  88.49,
0570200416, 092394, 080328,   44.6, 103.05,
0570200415, 092394, 080222,   59.9, 103.04,
0570200414, 092394, 080124,   75.2,  91.02,
0570200413, 092394, 080023,   84.9,  89.36,
0570200412, 092394, 075920,   95.1,  88.19,
0570200411, 092394, 075819,  105.2,  98.92,
0570200410, 092394, 075725,  115.6, 100.00,
0570200409, 092394, 075629,  124.1,  99.70,
0570200408, 092394, 075530,  135.5,  92.28,
0570200407, 092394, 075420,  149.6,  86.42,
0570200405, 092394, 075144,  174.4,  88.27,
0570200403, 092394, 074918,  200.0,  72.95,
0570201216, 092494, 080853,    5.7, 112.03,
0570201214, 092494, 080720,   25.5,  95.62,
0570201213, 092494, 080536,   45.7,  89.08,
0570201212, 092494, 080321,   75.6,  99.91,
0570201211, 092494, 080221,   85.3,  99.52,
0570201210, 092494, 080122,   95.3,  86.04,
0570201209, 092494, 080027,  100.5,  79.20,
0570201208, 092494, 075932,  111.7,  83.10,
0570201207, 092494, 075818,  126.1,  64.94,
0570201206, 092494, 075703,  150.9,  62.20,
0570201205, 092494, 075551,  174.6,  68.26,
0580200516, 101594, 063216,    4.4, 100.70,
0580200622, 101594, 090603,    5.0, 103.62,
0580200621, 101594, 090506,   14.6, 101.67,
0580200619, 101594, 090350,   25.0, 107.53,
0580200618, 101594, 090259,   34.3,  99.43,
0580200617, 101594, 090155,   44.6,  91.61,
0580200616, 101594, 090029,   59.5,  92.78,
0580200615, 101594, 085919,   74.5,  90.93,
0580200614, 101594, 085814,   84.2,  84.48,
0580200613, 101594, 085659,   94.7,  79.10,
0580200612, 101594, 085552,  104.7,  80.67,
0580200610, 101594, 085344,  124.7,  74.41,
0580200609, 101594, 085237,  134.8,  78.02,
0580200608, 101594, 085125,  149.5,  74.99,
0580200607, 101594, 085008,  159.4,  73.53,
0580200606, 101594, 084859,  174.4,  74.02,
0580200605, 101594, 084753,  185.4,  69.72,
0590200521, 112094, 074403,    5.3, 117.10,
0590200520, 112094, 074305,   14.8, 112.70,
0590200518, 112094, 074159,   25.2, 110.65,
0590200517, 112094, 074104,   34.2,  95.91,
0590200516, 112094, 074000,   43.2,  89.17,
0590200515, 112094, 073843,   58.7,  81.26,
0590200514, 112094, 073739,   74.0,  89.46,
0590200513, 112094, 073617,   86.5,  93.36,
0590200512, 112094, 073511,   94.9,  88.28,
0590200511, 112094, 073417,  102.3,  82.32,
0590200510, 112094, 073315,  115.7,  79.49,
0590200509, 112094, 073217,  125.2,  78.90,
0590200508, 112094, 073105,  135.4,  72.84,
0590200507, 112094, 072946,  150.6,  73.63,
0590200505, 112094, 072743,  173.0,  70.11,
0590200503, 112094, 072524,  200.0,  64.75,
0590200615, 112094, 104440,    5.6, 116.71,
0590200614, 112094, 104245,   26.1, 110.65,
0590200613, 112094, 104124,   45.9, 103.62,
0590200612, 112094, 103940,   76.1, 102.55,
0590200611, 112094, 103831,   90.1, 100.79,
0590200610, 112094, 103728,   99.4,  93.35,
0590200609, 112094, 103625,  109.9,  86.81,
0590200608, 112094, 103511,  128.6,  82.51,
0590200607, 112094, 103245,  149.4,  69.13,
0590200606, 112094, 103116,  175.9,  64.55,
0600200522, 020695, 075910,    4.9, 101.04,
0600200521, 020695, 075809,   14.9, 100.45,
0600200519, 020695, 075652,   23.2,  99.18,
0600200518, 020695, 075556,   34.1, 103.67,
0600200517, 020695, 075505,   43.8, 101.81,
0600200516, 020695, 075410,   59.8,  98.47,
0600200515, 020695, 075314,   74.9,  96.60,
0600200514, 020695, 075220,   84.8,  95.13,
0600200513, 020695, 075139,   95.5,  94.45,
0600200512, 020695, 075053,  104.3,  92.49,
0600200511, 020695, 075008,  113.5,  90.73,
0600200510, 020695, 074902,  120.3,  87.21,
0600200509, 020695, 074812,  123.8,  83.50,
0600200508, 020695, 074717,  133.6,  79.40,
0600200507, 020695, 074619,  149.8,  74.90,
0600200505, 020695, 074424,  175.1,  69.64,
0600200503, 020695, 074227,  199.5,  65.92,
0600200616, 020795, 091418,    5.6,  99.47,
0600200614, 020795, 091236,   24.5, 101.13,
0600200613, 020795, 091056,   44.8,  97.90,
0600200612, 020795, 090835,   75.7,  94.16,
0600200611, 020795, 090629,  101.2,  89.17,
0600200610, 020795, 090507,  114.2,  86.63,
0600200609, 020795, 090353,  123.9,  81.45,
0600200608, 020795, 090257,  134.3,  84.18,
0600200607, 020795, 090202,  140.8,  75.69,
0600200606, 020795, 090059,  150.9,  71.78,
0600200605, 020795, 085929,  174.6,  66.71,
0610200422, 030495, 080036,    5.5,  96.12,
0610200421, 030495, 075930,   15.0,  95.24,
0610200419, 030495, 075819,   25.5,  94.27,
0610200418, 030495, 075717,   34.0,  94.75,
0610200417, 030495, 075600,   44.7,  93.56,
0610200416, 030495, 075458,   57.9,  93.27,
0610200415, 030495, 075325,   78.0,  93.56,
0610200414, 030495, 075206,   85.2,  91.99,
0610200413, 030495, 075058,   96.0,  91.60,
0610200412, 030495, 074941,  106.3,  89.94,
0610200411, 030495, 074833,  111.9,  88.68,
0610200410, 030495, 074728,  123.6,  85.07,
0610200409, 030495, 074631,  134.2,  83.10,
0610200407, 030495, 074441,  149.2,  78.51,
0610200405, 030495, 074228,  174.9,  73.54,
0610200403, 030495, 074008,  200.0,  66.90,
0610201312, 030595, 114219,    4.8,  93.77,
0610201311, 030595, 114027,   25.4,  92.89,
0610201310, 030595, 113845,   44.8,  91.61,
0610201309, 030595, 113709,   74.5,  92.48,
0610201308, 030595, 113520,  100.8,  92.77,
0610201307, 030595, 113314,  124.3,  83.31,
0610201306, 030595, 113126,  150.6,  81.45,
0610201305, 030595, 112911,  174.0,  74.71,
0620200521, 040695, 070431,    4.5,  89.39,
0620200520, 040695, 070315,   14.6,  91.83,
0620200518, 040695, 070159,   25.1,  93.01,
0620200517, 040695, 070056,   33.6,  90.86,
0620200516, 040695, 065950,   44.8,  92.03,
0620200515, 040695, 065838,   60.9,  89.88,
0620200514, 040695, 065730,   75.2,  92.02,
0620200513, 040695, 065630,   84.9,  88.89,
0620200512, 040695, 065535,   93.3,  84.00,
0620200511, 040695, 065436,  104.5,  84.29,
0620200509, 040695, 065236,  124.0,  83.41,
0620200508, 040695, 065134,  134.9,  77.93,
0620200507, 040695, 065029,  149.2,  76.56,
0620200506, 040695, 064937,  160.2,  70.02,
0620200505, 040695, 064840,  173.8,  66.01,
0620201415, 040795, 100406,    4.7,  87.93,
0620201414, 040795, 100230,   24.5,  92.03,
0620201413, 040795, 100055,   44.4,  89.10,
0620201412, 040795, 095858,   74.2,  88.60,
0620201411, 040795, 095719,  100.6,  83.70,
0620201410, 040795, 095440,  125.8,  81.45,
0620201409, 040795, 095327,  134.3,  78.42,
0620201408, 040795, 095221,  137.5,  76.56,
0620201407, 040795, 095049,  145.4,  78.22,
0620201406, 040795, 094950,  149.5,  77.15,
0620201405, 040795, 094753,  174.6,  66.50,
0630200523, 050795, 090218,    5.0,  86.64,
0630200522, 050795, 090129,    9.7,  88.01,
0630200519, 050795, 085938,   24.7,  85.37,
0630200517, 050795, 085729,   45.0,  85.96,
0630200516, 050795, 085622,   59.5,  84.87,
0630200514, 050795, 085413,   84.3,  79.39,
0630200512, 050795, 085209,  104.8,  75.58,
0630200510, 050795, 085019,  124.3,  72.26,
0630200508, 050795, 084817,  149.8,  69.53,
0630200506, 050795, 084608,  174.7,  65.43,
0640200523, 073095, 082954,    5.0, 112.61,
0640200522, 073095, 082840,   14.7, 115.64,
0640200520, 073095, 082736,   24.4, 110.36,
0640200519, 073095, 082630,   35.0, 107.43,
0640200518, 073095, 082510,   45.1, 101.72,
0640200517, 073095, 082351,   60.1,  92.49,
0640200516, 073095, 082228,   74.9,  90.92,
0640200515, 073095, 082120,   85.0,  87.30,
0640200514, 073095, 082010,   95.6,  84.96,
0640200513, 073095, 081900,  104.7,  84.08,
0640200512, 073095, 081744,  114.6,  82.22,
0640200511, 073095, 081623,  124.5,  77.97,
0640200510, 073095, 081525,  133.8,  73.63,
0640200509, 073095, 081405,  149.5,  68.35,
0640200507, 073095, 081110,  174.3,  65.82,
0650200423, 082895, 073257,    4.7,  88.00,
0650200422, 082895, 073155,   14.3,  86.63,
0650200420, 082895, 073055,   25.0,  84.38,
0650200419, 082895, 073001,   44.3,  81.55,
0650200418, 082895, 072909,   60.3,  82.52,
0650200417, 082895, 072757,   74.4,  80.08,
0650200416, 082895, 072658,   84.3,  78.80,
0650200414, 082895, 072458,   94.7,  85.88,
0650200412, 082895, 072300,  105.2,  81.05,
0650200411, 082895, 072154,  114.8,  80.46,
0650200410, 082895, 072100,  124.8,  78.12,
0650200409, 082895, 072010,  135.4,  76.85,
0650200408, 082895, 071859,  149.6,  73.24,
0650200407, 082895, 071759,  160.0,  68.55,
0650200406, 082895, 071658,  173.3,  66.80,
0660200522, 092795, 070151,    5.0,  83.41,
0660200521, 092795, 070049,   14.1,  81.26,
0660200519, 092795, 065939,   24.8,  84.00,
0660200518, 092795, 065849,   35.0,  79.31,
0660200517, 092795, 065800,   45.5,  76.43,
0660200516, 092795, 065649,   60.4,  78.52,
0660200515, 092795, 065545,   74.5,  74.90,
0660200514, 092795, 065455,   85.0,  72.85,
0660200513, 092795, 065356,   93.9,  73.53,
0660200512, 092795, 065311,  104.1,  69.14,
0660200511, 092795, 065209,  114.4,  68.16,
0660200510, 092795, 065114,  124.0,  65.33,
0660200509, 092795, 065021,  134.1,  64.16,
0660200508, 092795, 064910,  149.1,  64.26,
0660200506, 092795, 064703,  174.4,  65.82,
0670200515, 102795, 025759,  199.4,  56.65,
0670200622, 102795, 060603,    4.6,  95.22,
0670200620, 102795, 060458,   13.6,  91.80,
0670200618, 102795, 060354,   24.4,  93.46,
0670200617, 102795, 060244,   44.3,  91.21,
0670200616, 102795, 060053,   59.4,  88.87,
0670200615, 102795, 055948,   75.0,  88.67,
0670200614, 102795, 055845,   84.9,  84.38,
0670200612, 102795, 055651,  104.1,  78.22,
0670200611, 102795, 055549,  114.9,  73.82,
0670200610, 102795, 055453,  124.8,  75.00,
0670200609, 102795, 055349,  134.7,  69.82,
0670200608, 102795, 055252,  149.1,  65.82,
0670200607, 102795, 055157,  158.3,  61.04,
0670200606, 102795, 055045,  174.3,  58.79,
0680200622, 111795, 060149,    5.0, 105.58,
0680200621, 111795, 060036,   14.1, 102.06,
0680200619, 111795, 055913,   24.0, 101.38,
0680200618, 111795, 055807,   34.5,  98.15,
0680200617, 111795, 055708,   44.3,  99.81,
0680200616, 111795, 055605,   60.9,  94.15,
0680200615, 111795, 055436,   74.5,  95.12,
0680200614, 111795, 055324,   85.5,  93.16,
0680200613, 111795, 055211,   94.1,  96.38,
0680200612, 111795, 055109,  104.3,  91.40,
0680200611, 111795, 054958,  114.3,  88.57,
0680200610, 111795, 054836,  125.0,  86.33,
0680200609, 111795, 054726,  134.5,  83.30,
0680200608, 111795, 054621,  149.9,  79.30,
0680200606, 111795, 054428,  175.1,  74.23,
0690200721, 011796, 075754,    4.6, 101.09,
0690200720, 011796, 075656,   14.5,  97.28,
0690200718, 011796, 075546,   24.9,  96.79,
0690200717, 011796, 075452,   34.8,  95.62,
0690200716, 011796, 075348,   44.8,  91.08,
0690200715, 011796, 075242,   59.6,  85.36,
0690200714, 011796, 075136,   74.6,  82.92,
0690200713, 011796, 075032,   84.3,  76.96,
0690200712, 011796, 074934,   94.4,  71.29,
0690200711, 011796, 074834,  104.4,  69.87,
0690200710, 011796, 074734,  114.4,  67.77,
0690200709, 011796, 074628,  124.8,  63.47,
0690200708, 011796, 074520,  134.9,  57.91,
0690200707, 011796, 074412,  149.5,  56.05,
0690200705, 011796, 074208,  174.4,  57.33,
0700200622, 032796, 080100,    4.8, 115.25,
0700200620, 032796, 075952,   13.1, 107.93,
0700200618, 032796, 075824,   24.4, 110.86,
0700200617, 032796, 075726,   34.0, 103.34,
0700200616, 032796, 075626,   44.3, 103.49,
0700200615, 032796, 075518,   58.8, 105.00,
0700200614, 032796, 075412,   72.8, 103.33,
0700200613, 032796, 075314,   84.4,  98.83,
0700200612, 032796, 075216,   95.2,  95.51,
0700200611, 032796, 075112,  104.6,  96.53,
0700200610, 032796, 075008,  114.7,  87.60,
0700200609, 032796, 074912,  123.7,  85.50,
0700200608, 032796, 074824,  134.0,  82.13,
0700200607, 032796, 074724,  148.7,  84.48,
0700200605, 032796, 074532,  173.0,  79.59,
0700200603, 032796, 074340,  199.6,  74.52,
0710200622, 042496, 070331,    4.6, 118.88,
0710200621, 042496, 070207,   14.9, 125.03,
0710200619, 042496, 070105,   23.6, 116.24,
0710200618, 042496, 065939,   34.3, 115.26,
0710200617, 042496, 065833,   44.1, 100.02,
0710200616, 042496, 065725,   59.0,  91.23,
0710200615, 042496, 065613,   74.1,  84.78,
0710200614, 042496, 065503,   84.4,  84.48,
0710200613, 042496, 065353,   94.2,  85.16,
0710200612, 042496, 065247,  104.1,  77.20,
0710200611, 042496, 065137,  114.8,  74.81,
0710200610, 042496, 065037,  123.9,  61.91,
0710200609, 042496, 064921,  134.5,  61.33,
0710200608, 042496, 064807,  150.5,  62.99,
0710200606, 042496, 064545,  174.5,  60.84,
0720200221, 052296, 060931,    5.1, 109.98,
0720200220, 052296, 060826,   15.3, 106.36,
0720200218, 052296, 060707,   24.6, 100.69,
0720200217, 052296, 060554,   35.1, 113.00,
0720200216, 052296, 060452,   44.5, 108.26,
0720200215, 052296, 060328,   61.1,  89.26,
0720200214, 052296, 060206,   75.1,  85.06,
0720200213, 052296, 060053,   85.0,  90.23,
0720200212, 052296, 055936,   94.3,  82.13,
0720200211, 052296, 055826,  105.1,  83.45,
0720200210, 052296, 055720,  116.3,  80.96,
0720200209, 052296, 055600,  125.0,  77.00,
0720200208, 052296, 055452,  134.8,  71.39,
0720200207, 052296, 055332,  149.0,  67.09,
0720200205, 052296, 055052,  175.1,  67.77,
0730200623, 062696, 070517,    4.0,  91.06,
0730200621, 062696, 070357,   14.7,  94.48,
0730200619, 062696, 070225,   24.6,  92.91,
0730200618, 062696, 070111,   35.2,  93.60,
0730200617, 062696, 065955,   45.0,  81.02,
0730200615, 062696, 065721,   74.4,  74.22,
0730200614, 062696, 065607,   84.5,  78.61,
0730200613, 062696, 065503,   94.9,  86.42,
0730200612, 062696, 065357,  104.7,  86.62,
0730200611, 062696, 065249,  114.5,  80.56,
0730200610, 062696, 065131,  124.1,  76.61,
0730200609, 062696, 065015,  134.0,  77.15,
0730200608, 062696, 064907,  150.0,  82.71,
