Hawaii Ocean Time-series : 12-Sep-2023 23:47:19
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
1910201005, 050507, 124702,  125.3,  1.151,
1910201004, 050507, 124520,  149.6,  0.337,
1910201003, 050507, 124343,  174.5,  0.105,
1930200722, 070807, 130548,    6.8,  1.740,
1930200717, 070807, 130253,   24.8,  1.820,
1930200714, 070807, 125957,   45.3,  1.810,
1930200711, 070807, 125648,   75.9,  2.492,
1930200708, 070807, 125428,   99.8,  2.197,
1930200705, 070807, 125208,  124.8,  0.499,
1930200704, 070807, 124958,  149.7,  0.157,
1930200703, 070807, 124757,  175.0,  0.053,
1940200920, 080407, 130743,    7.9,  1.720,
1940200917, 080407, 130443,   25.2,  1.852,
1940200914, 080407, 130118,   44.9,  2.436,
1940200911, 080407, 125802,   75.9,  2.017,
1940200908, 080407, 125528,  100.1,  1.647,
1940200905, 080407, 125313,  125.4,  0.661,
1940200904, 080407, 125041,  149.9,  0.313,
1940200903, 080407, 124838,  175.3,  0.142,
1950200920, 090307, 130649,    6.6,  2.197,
1950200917, 090307, 130404,   25.8,  2.499,
1950200914, 090307, 130159,   46.0,  2.581,
1950200911, 090307, 125829,   75.9,  2.792,
1950200908, 090307, 125554,  100.5,  2.417,
1950200905, 090307, 125344,  125.4,  0.548,
1950200904, 090307, 125110,  150.5,  0.101,
1950200903, 090307, 124909,  176.0,  0.113,
1960200222, 100207, 131053,    4.5,  2.025,
1960200217, 100207, 130838,   24.8,  2.083,
1960200214, 100207, 130723,   44.3,  2.173,
1960200211, 100207, 130553,   75.7,  2.606,
1960200208, 100207, 130429,   99.0,  2.065,
1960200205, 100207, 130304,  126.0,  0.758,
1960200204, 100207, 130143,  149.7,  0.174,
1960200203, 100207, 130019,  176.9,  0.086,
1970200220, 120107, 131549,    8.8,  2.158,
1970200217, 120107, 131413,   24.7,  2.025,
1970200214, 120107, 130959,   44.9,  1.757,
1970200211, 120107, 130823,   74.9,  1.698,
1970200208, 120107, 130629,   99.4,  0.673,
1970200205, 120107, 130439,  126.3,  0.199,
1980200222, 122007, 121559,    5.8,  1.374,
1980200217, 122007, 121059,   24.0,  1.465,
1980200214, 122007, 120920,   45.8,  1.354,
1980200211, 122007, 120733,   76.0,  1.276,
1980200208, 122007, 120544,  101.1,  0.887,
1980200205, 122007, 120340,  123.1,  0.320,
1980200204, 122007, 120225,  149.2,  0.058,
1980200203, 122007, 120114,  175.1,  0.029,
1990200222, 012908, 134548,    5.8,  1.445,
1990200217, 012908, 133955,   24.5,  1.499,
1990200214, 012908, 133806,   45.7,  1.474,
1990200211, 012908, 133607,   74.5,  1.474,
1990200208, 012908, 133346,   99.7,  1.200,
1990200205, 012908, 133136,  124.2,  0.338,
1990200204, 012908, 132926,  150.5,  0.078,
1990200203, 012908, 132707,  177.2,  0.006,
2000200222, 022308, 132209,    7.4,  1.711,
2000200217, 022308, 131709,   27.8,  2.044,
2000200214, 022308, 131453,   46.4,  2.106,
2000200211, 022308, 131221,   76.6,  2.305,
2000200205, 022308, 130723,  126.3,  0.555,
2000200204, 022308, 130508,  151.7,  0.125,
2000200203, 022308, 130310,  176.6,  0.011,
2010200222, 052708, 123058,    7.5,  1.879,
2010200218, 052708, 122805,   26.1,  2.335,
2010200215, 052708, 122537,   46.0,  2.295,
2010200212, 052708, 122328,   75.6,  2.453,
2010200209, 052708, 122124,  101.1,  2.943,
2010200206, 052708, 121929,  125.6,  1.044,
2010200205, 052708, 121738,  150.0,  0.264,
2010200204, 052708, 121554,  175.6,  0.103,
2020200222, 062508, 124016,    9.2,  1.905,
2020200218, 062508, 123622,   24.6,  1.867,
2020200215, 062508, 123401,   44.1,  1.819,
2020200212, 062508, 123136,   74.2,  2.347,
2020200209, 062508, 122926,   99.2,  1.631,
2020200205, 062508, 122701,  124.3,  0.708,
2020200204, 062508, 122516,  149.5,  0.288,
2020200203, 062508, 122318,  174.0,  0.052,
2030200222, 072608, 134946,    8.4,  1.627,
2030200218, 072608, 134648,   25.3,  1.599,
2030200215, 072608, 134444,   44.7,  2.225,
2030200212, 072608, 134229,   75.0,  2.580,
2030200209, 072608, 134010,  100.9,  2.104,
2030200205, 072608, 133740,  125.3,  0.710,
2030200204, 072608, 133523,  150.0,  0.185,
2030200203, 072608, 133327,  176.1,  0.060,
2040200222, 081608, 122916,    6.2,  2.755,
2040200218, 081608, 122541,   24.9,  2.861,
2040200215, 081608, 122330,   43.7,  2.928,
2040200212, 081608, 122027,   74.3,  2.759,
2040200209, 081608, 121757,  100.1,  0.872,
2040200205, 081608, 121512,  125.6,  0.308,
2040200204, 081608, 121247,  150.2,  0.096,
2040200203, 081608, 121012,  174.3,  0.033,
2050200222, 101008, 122046,    6.0,  2.476,
2050200217, 101008, 121736,   24.5,  2.161,
2050200214, 101008, 121546,   44.2,  2.600,
2050200211, 101008, 121345,   74.3,  2.155,
2050200208, 101008, 121200,   99.2,  0.843,
2050200205, 101008, 121011,  124.1,  0.296,
2050200204, 101008, 120841,  148.9,  0.068,
2050200203, 101008, 120711,  174.0,  0.015,
2060200222, 113008, 134658,   10.1,  2.156,
2060200218, 113008, 134258,   22.3,  2.105,
2060200215, 113008, 134124,   43.3,  2.044,
2060200212, 113008, 133918,   76.7,  2.056,
2060200209, 113008, 133719,  100.2,  1.134,
2060200205, 113008, 133537,  121.8,  0.582,
