Hawaii Ocean Time-series : 08-Sep-2023 01:30:10
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, chl3, 
#, mmddyy, hhmmss, dbar, ng/l, 
2890201308, 012517, 070108,   99.0,  10.0,
2890201307, 012517, 065943,  114.6,   6.0,
2890201306, 012517, 065827,  126.7,   4.0,
2890201305, 012517, 065723,  135.8,   3.0,
2890201304, 012517, 065603,  150.2,   2.0,
2890201303, 012517, 065428,  174.5,   0.0,
2900201213, 022417, 083509,    5.0,   1.0,
2900201211, 022417, 083334,   25.9,   1.0,
2900201210, 022417, 083214,   45.7,   1.0,
2900201209, 022417, 083109,   59.9,   1.0,
2900201208, 022417, 083008,   74.8,   2.0,
2900201206, 022417, 082749,  100.4,   2.0,
2900201205, 022417, 082639,  116.1,   3.0,
2900201204, 022417, 082539,  125.4,   4.0,
2900201203, 022417, 082444,  134.3,   1.0,
2900201202, 022417, 082253,  152.3,   2.0,
2900201201, 022417, 082129,  174.5,   1.0,
2910201418, 033017, 070149,    5.7,   0.0,
2910201417, 033017, 070042,   24.9,   0.0,
2910201416, 033017, 065938,   45.2,   0.0,
2910201415, 033017, 065843,   60.0,   0.0,
2910201414, 033017, 065739,   74.5,   0.0,
2910201413, 033017, 065637,   83.8,   2.0,
2910201411, 033017, 065527,  100.3,   2.0,
2910201410, 033017, 065428,  115.0,   8.0,
2910201408, 033017, 065333,  124.7,   8.0,
2910201407, 033017, 065243,  134.5,  12.0,
2910201405, 033017, 065133,  149.8,  12.0,
2910201403, 033017, 065008,  175.0,   2.0,
2920201415, 042717, 065259,    5.2,   0.0,
2920201413, 042717, 065134,   25.1,   1.0,
2920201412, 042717, 065025,   45.0,   2.0,
2920201411, 042717, 064858,   59.9,   3.0,
2920201410, 042717, 064759,   74.3,   3.0,
2920201409, 042717, 064720,   84.8,   3.0,
2920201408, 042717, 064630,   99.8,   3.0,
2920201407, 042717, 064539,  115.1,   8.0,
2920201406, 042717, 064445,  125.5,   9.0,
2920201405, 042717, 064354,  135.8,  12.0,
2920201404, 042717, 064255,  152.5,   8.0,
2920201403, 042717, 064150,  176.0,   1.0,
2930201414, 052517, 070029,    5.3,   0.0,
2930201413, 052517, 065844,   25.6,   2.0,
2930201412, 052517, 065739,   45.9,   2.0,
2930201411, 052517, 065639,   61.4,   2.0,
2930201410, 052517, 065534,   75.5,   1.0,
2930201409, 052517, 065444,   84.5,   5.0,
2930201407, 052517, 065229,  116.0,  10.0,
2930201406, 052517, 065134,  122.6,  11.0,
2930201405, 052517, 065034,  134.3,  17.0,
2930201404, 052517, 064918,  149.8,  11.0,
2930201403, 052517, 064740,  174.6,   6.0,
2940201513, 062217, 071229,   25.6,   1.0,
2940201512, 062217, 071023,   45.4,   1.0,
2940201511, 062217, 070828,   60.2,   2.0,
2940201510, 062217, 070638,   75.9,   4.0,
2940201509, 062217, 070453,   85.8,   4.0,
2940201508, 062217, 070253,  101.0,   5.0,
2940201507, 062217, 070058,  115.8,   7.0,
2940201506, 062217, 065923,  125.8,  12.0,
2940201505, 062217, 065733,  135.7,  15.0,
2940201504, 062217, 065543,  150.5,  13.0,
2940201503, 062217, 065320,  175.7,   1.0,
2950201414, 081017, 065903,    5.4,   1.0,
2950201413, 081017, 065813,   25.1,   1.0,
2950201412, 081017, 065718,   45.1,   1.0,
2950201411, 081017, 065628,   60.3,   2.0,
2950201410, 081017, 065538,   75.6,   3.0,
2950201409, 081017, 065448,   85.5,   4.0,
2950201408, 081017, 065403,  100.2,   7.0,
2950201407, 081017, 065318,  114.8,  18.0,
2950201406, 081017, 065238,  125.8,  11.0,
2950201405, 081017, 065158,  134.7,   6.0,
2950201404, 081017, 065107,  149.4,   3.0,
2950201403, 081017, 065008,  178.2,   1.0,
2960201318, 100817, 072654,    5.4,   1.0,
2960201315, 100817, 072419,   24.9,   1.0,
2960201314, 100817, 072153,   46.9,   1.0,
2960201313, 100817, 072003,   60.5,   2.0,
2960201310, 100817, 071804,   75.2,   2.0,
2960201308, 100817, 071404,  100.9,   6.0,
2960201307, 100817, 071208,  117.3,  10.0,
2960201306, 100817, 071039,  125.2,  17.0,
2960201305, 100817, 070909,  136.3,  15.0,
2960201304, 100817, 070724,  151.6,  10.0,
2960201303, 100817, 070523,  175.4,   2.0,
2970201414, 111017, 070304,    5.7,   1.0,
2970201413, 111017, 070127,   25.8,   2.0,
2970201412, 111017, 065948,   45.5,   3.0,
2970201411, 111017, 065823,   60.8,   1.0,
2970201410, 111017, 065708,   75.6,   7.0,
2970201409, 111017, 065548,   85.7,   9.0,
2970201408, 111017, 065428,  100.6,  16.0,
2970201407, 111017, 065247,  115.5,   9.0,
2970201406, 111017, 065137,  126.0,   8.0,
2970201405, 111017, 065019,  136.0,   8.0,
2970201404, 111017, 064848,  150.8,   2.0,
2970201403, 111017, 064655,  176.1,   1.0,
2980200721, 121317, 104816,    5.8,   4.0,
2980200719, 121317, 104636,   25.1,   4.0,
2980200718, 121317, 104516,   46.3,   4.0,
2980200717, 121317, 104421,   61.1,   4.0,
2980200716, 121317, 104316,   75.6,   6.0,
2980200715, 121317, 104225,   86.1,   5.0,
2980200713, 121317, 104120,   99.9,   9.0,
2980200712, 121317, 104015,  117.2,   8.0,
2980200710, 121317, 103925,  126.2,   4.0,
2980200709, 121317, 103835,  135.2,   3.0,
2980200707, 121317, 103725,  152.0,   0.0,
2980200705, 121317, 103605,  175.8,   0.0,
3000201414, 022718, 071428,    7.0,   6.0,
3000201413, 022718, 071248,   25.6,   4.0,
3000201412, 022718, 071059,   46.2,   6.0,
3000201411, 022718, 070928,   62.1,   2.0,
3000201410, 022718, 070808,   73.9,  35.0,
3000201409, 022718, 070659,   84.8,  21.0,
3000201408, 022718, 070533,  102.4,  15.0,
3000201407, 022718, 070358,  115.5,  21.0,
3000201406, 022718, 070249,  125.3,  22.0,
3000201405, 022718, 070118,  136.5,  18.0,
3000201404, 022718, 070008,  151.6,  33.0,
3000201403, 022718, 065818,  175.7,   5.0,
3010201224, 041918, 125618,    5.1,   3.0,
3010201223, 041918, 125443,   26.7,   4.0,
3010201222, 041918, 125313,   45.3,   3.0,
3010201221, 041918, 125157,   60.8,   0.0,
3010201220, 041918, 125052,   76.3,   0.0,
3010201219, 041918, 124934,   84.8,   9.0,
3010201218, 041918, 124816,  100.3,  28.0,
3010201214, 041918, 124251,  150.4,  20.0,
3010201213, 041918, 124101,  176.8,   5.0,
3020200723, 051618, 142147,    4.8,   3.0,
3020200719, 051618, 141907,   25.9,   4.0,
3020200717, 051618, 141737,   45.0,   2.0,
3020200715, 051618, 141537,   60.2,   4.0,
3020200714, 051618, 141432,   75.1,   6.0,
3020200713, 051618, 141327,   85.6,   8.0,
3020200712, 051618, 141148,  100.9,  10.0,
3020200711, 051618, 141032,  115.4,  15.0,
3020200710, 051618, 140907,  124.8,  38.0,
3020200707, 051618, 140707,  135.9,  31.0,
3020200706, 051618, 140557,  150.4,  26.0,
3020200704, 051618, 140347,  176.9,   4.0,
3030201314, 062818, 071036,    5.8,   1.0,
3030201313, 062818, 070642,   26.8,   1.0,
3030201312, 062818, 070517,   44.1,   6.0,
3030201311, 062818, 070356,   59.9,   8.0,
3030201310, 062818, 070241,   77.5,  10.0,
3030201309, 062818, 070125,   84.8,  14.0,
3030201308, 062818, 070009,   98.1,  16.0,
3030201307, 062818, 065838,  115.3,  14.0,
3030201306, 062818, 065723,  127.0,  27.0,
3030201305, 062818, 065608,  138.3,  36.0,
3030201304, 062818, 065458,  149.0,  21.0,
3030201303, 062818, 065348,  168.9,   8.0,
3040201414, 072618, 065742,    5.5,   4.0,
3040201413, 072618, 065614,   25.8,   7.0,
3040201412, 072618, 065450,   45.3,   9.0,
3040201411, 072618, 065336,   60.7,  13.0,
3040201410, 072618, 065238,   75.3,  12.0,
3040201409, 072618, 065135,   85.5,   9.0,
3040201408, 072618, 065025,   99.7,  17.0,
3040201407, 072618, 064913,  114.9,  39.0,
3040201406, 072618, 064806,  125.2,  37.0,
3040201405, 072618, 064704,  136.0,  32.0,
3040201404, 072618, 064540,  149.9,  10.0,
3040201403, 072618, 064407,  174.6,   4.0,
3050200718, 091118, 101642,    6.1,   3.0,
3050200717, 091118, 101503,   26.2,   2.0,
3050200716, 091118, 101339,   46.0,   8.0,
3050200715, 091118, 101225,   59.7,  10.0,
3050200714, 091118, 101111,   76.0,  14.0,
3050200713, 091118, 101012,   85.8,  27.0,
3050200711, 091118, 100849,  100.8,  85.0,
3050200708, 091118, 100639,  125.6,  50.0,
3050200707, 091118, 100539,  136.1,  23.0,
3050200705, 091118, 100421,  150.3,  22.0,
3050200703, 091118, 100241,  173.8,  10.0,
3060201418, 101418, 070637,    5.9,   5.0,
3060201417, 101418, 070502,   25.4,   5.0,
3060201416, 101418, 070322,   45.2,  10.0,
3060201415, 101418, 070202,   60.1,  12.0,
3060201414, 101418, 070039,   75.3,  12.0,
3060201413, 101418, 065916,   85.2,  13.0,
3060201410, 101418, 065603,  114.8,  40.0,
3060201408, 101418, 065449,  123.4,  38.0,
3060201407, 101418, 065342,  134.5,  18.0,
3060201405, 101418, 065222,  150.0,  16.0,
3060201403, 101418, 065032,  174.5,  13.0,
3070201412, 111818, 071046,   44.3,   8.0,
3070201411, 111818, 070925,   60.1,  15.0,
3070201410, 111818, 070751,   74.8,  18.0,
3070201409, 111818, 070637,   84.2,  51.0,
3070201408, 111818, 070508,  100.2,  22.0,
3070201407, 111818, 070341,  113.8,  21.0,
3070201406, 111818, 070226,  126.1,  24.0,
3070201405, 111818, 070118,  135.7,  18.0,
3070201404, 111818, 065950,  151.1,   3.0,
3070201403, 111818, 065752,  174.2,   1.0,
3070201524, 111818, 130552,    4.7,   5.0,
3070201523, 111818, 130448,   25.0,   6.0,
3090201414, 011719, 072116,    4.6,   5.0,
3090201412, 011719, 071801,   44.2,   6.0,
3090201411, 011719, 071636,   59.7,   9.0,
3090201410, 011719, 071511,   75.5,  13.0,
3090201409, 011719, 071351,   84.2,  12.0,
3090201408, 011719, 071236,   99.7,  44.0,
3090201407, 011719, 071106,  115.9,  21.0,
3090201406, 011719, 071001,  124.5,  19.0,
3090201405, 011719, 070836,  134.5,  12.0,
3090201404, 011719, 070721,  149.4,  12.0,
3090201403, 011719, 070531,  175.9,   9.0,
3100201023, 022119, 073323,    5.4,   4.0,
3100201022, 022119, 073139,   24.5,   4.0,
3100201020, 022119, 073000,   43.9,   6.0,
3100201018, 022119, 072823,   57.3,  15.0,
3100201017, 022119, 072653,   72.9,  28.0,
3100201015, 022119, 072403,   98.3,  26.0,
3100201014, 022119, 072238,  113.6,  24.0,
3100201011, 022119, 072003,  135.3,  15.0,
3100201010, 022119, 071835,  151.2,  12.0,
3100201008, 022119, 071646,  174.2,   7.0,
3110201424, 050419, 070239,    4.3,   5.0,
3110201412, 050419, 065939,   24.2,   6.0,
3110201411, 050419, 065756,   44.8,   4.0,
3110201410, 050419, 065611,   60.0,   7.0,
3110201409, 050419, 065419,   75.0,   6.0,
3110201408, 050419, 065259,   84.9,   8.0,
3110201407, 050419, 065024,   99.8,  11.0,
3110201406, 050419, 064854,  114.1,  16.0,
3110201405, 050419, 064735,  124.4,  31.0,
3110201404, 050419, 064614,  134.5,  22.0,
3110201403, 050419, 064444,  150.2,  20.0,
3110201402, 050419, 064249,  174.5,   8.0,
3120201421, 061319, 070256,    3.0,   1.0,
3120201419, 061319, 070120,   25.6,   2.0,
3120201417, 061319, 070002,   45.6,   3.0,
3120201416, 061319, 065900,   59.2,   3.0,
3120201415, 061319, 065750,   75.1,   6.0,
3120201414, 061319, 065655,   84.1,   7.0,
3120201409, 061319, 065510,  100.1,   9.0,
3120201408, 061319, 065355,  115.0,  32.0,
3120201406, 061319, 065245,  124.4,  43.0,
3120201405, 061319, 065135,  134.9,  26.0,
3120201404, 061319, 065021,  149.4,  12.0,
3120201403, 061319, 064841,  177.0,   4.0,
3130201419, 070319, 070140,    4.4,   2.0,
3130201417, 070319, 065955,   24.7,   1.0,
3130201415, 070319, 065806,   44.7,   1.0,
3130201414, 070319, 065640,   59.4,   1.0,
3130201412, 070319, 065506,   74.5,   4.0,
3130201411, 070319, 065345,   84.9,   4.0,
3130201409, 070319, 065216,   99.3,   7.0,
3130201408, 070319, 065045,  114.3,  18.0,
3130201406, 070319, 064930,  124.6,  28.0,
3130201405, 070319, 064815,  134.8,  42.0,
3130201404, 070319, 064700,  149.6,  28.0,
3130201403, 070319, 064500,  175.1,   8.0,
3140201419, 080419, 072631,    4.2,   1.0,
3140201417, 080419, 072449,   25.4,   2.0,
3140201415, 080419, 072316,   43.6,   2.0,
3140201414, 080419, 072205,   59.1,   3.0,
3140201412, 080419, 072050,   74.1,   4.0,
3140201411, 080419, 072000,   84.6,   6.0,
3140201409, 080419, 071848,   98.9,   7.0,
3140201408, 080419, 071739,  114.8,  10.0,
3140201406, 080419, 071636,  124.9,  11.0,
3140201405, 080419, 071544,  133.7,  12.0,
3140201404, 080419, 071441,  149.7,  21.0,
3140201403, 080419, 071336,  173.6,   6.0,
3150201420, 090619, 065843,    5.1,   1.0,
3150201418, 090619, 065703,   24.4,   2.0,
3150201416, 090619, 065505,   46.1,   5.0,
3150201415, 090619, 065329,   60.1,   5.0,
3150201413, 090619, 065154,   75.0,   8.0,
3150201412, 090619, 065043,   84.1,   7.0,
3150201410, 090619, 064905,   99.6,  17.0,
3150201409, 090619, 064743,  113.7,  34.0,
3150201407, 090619, 064608,  124.5,  17.0,
3150201406, 090619, 064443,  133.3,  14.0,
3150201404, 090619, 064258,  149.0,  14.0,
3150201403, 090619, 064118,  174.5,   8.0,
3160201317, 101919, 065211,    4.7,   0.0,
3160201314, 101919, 064937,   25.3,   2.0,
3160201313, 101919, 064806,   44.9,   0.0,
3160201312, 101919, 064652,   59.0,  13.0,
3160201311, 101919, 064537,   74.8,   0.0,
3160201310, 101919, 064439,   84.0,  10.0,
3160201309, 101919, 064326,   99.4,  23.0,
3160201308, 101919, 064137,  114.2,  37.0,
3160201307, 101919, 064037,  124.3,  33.0,
3160201306, 101919, 063937,  134.3,  19.0,
3160201305, 101919, 063827,  149.5,   9.0,
3160201304, 101919, 063709,  175.9,   2.0,
3170200720, 122019, 101807,    5.3,   7.0,
3170200717, 122019, 101621,   24.5,   8.0,
3170200716, 122019, 101509,   42.0,   3.0,
3170200715, 122019, 101405,   58.8,   3.0,
3170200714, 122019, 101235,   74.9,   8.0,
3170200713, 122019, 101133,   82.9,   3.0,
3170200711, 122019, 101013,  100.3,   4.0,
3170200710, 122019, 100858,  114.0,  14.0,
3170200708, 122019, 100737,  123.6,  32.0,
3170200707, 122019, 100633,  134.5,  19.0,
3170200706, 122019, 100521,  147.8,   7.0,
3170200703, 122019, 100336,  173.4,   0.0,
3180200617, 010820, 132749,    5.1,   3.0,
3180200615, 010820, 132540,   24.4,   3.0,
3180200614, 010820, 132332,   43.6,   3.0,
3180200613, 010820, 132203,   60.0,   3.0,
3180200612, 010820, 132007,   74.5,   3.0,
3180200611, 010820, 131851,   84.4,   7.0,
3180200610, 010820, 131719,   98.8,  25.0,
3180200609, 010820, 131543,  115.4,  19.0,
3180200608, 010820, 131400,  123.9,  12.0,
3180200607, 010820, 131235,  134.3,   7.0,
3180200606, 010820, 131108,  150.4,   1.0,
3180200605, 010820, 130919,  172.0,   0.0,
3190201224, 020120, 081658,    5.0,   1.0,
3190201213, 020120, 081407,   26.1,   1.0,
3190201212, 020120, 081207,   44.8,   2.0,
3190201211, 020120, 081005,   59.3,   2.0,
3190201210, 020120, 080809,   75.7,   3.0,
3190201209, 020120, 080631,   85.4,   4.0,
3190201208, 020120, 080447,   99.9,   5.0,
3190201207, 020120, 080259,  115.2,  15.0,
3190201206, 020120, 080127,  125.5,  34.0,
3190201205, 020120, 075957,  135.5,  31.0,
3190201204, 020120, 075804,  149.3,  12.0,
3190201203, 020120, 075555,  174.5,   4.0,
3200201518, 071720, 070139,    5.2,   0.0,
3200201517, 071720, 070005,   25.2,   1.0,
3200201516, 071720, 065843,   44.6,   2.0,
3200201515, 071720, 065731,   61.2,   2.0,
3200201514, 071720, 065621,   74.6,   3.0,
3200201513, 071720, 065523,   83.7,   4.0,
3200201511, 071720, 065405,   99.6,   6.0,
3200201510, 071720, 065254,  113.8,  36.0,
3200201508, 071720, 065139,  124.7,  20.0,
3200201507, 071720, 065031,  134.7,  22.0,
3200201505, 071720, 064906,  150.9,  11.0,
3200201503, 071720, 064723,  175.7,   7.0,
3210201614, 081020, 070439,    5.0,   1.0,
3210201613, 081020, 070316,   24.2,   2.0,
3210201612, 081020, 070133,   45.9,   3.0,
3210201611, 081020, 070020,   59.6,   7.0,
3210201610, 081020, 065853,   75.5,   8.0,
3210201609, 081020, 065729,   85.4,   9.0,
3210201608, 081020, 065553,  100.1,  14.0,
3210201607, 081020, 065415,  114.9,  15.0,
3210201606, 081020, 065249,  124.3,  16.0,
3210201605, 081020, 065125,  133.7,  22.0,
3210201604, 081020, 064939,  150.8,  16.0,
3210201603, 081020, 064746,  174.8,   7.0,
3220201815, 090520, 070013,    4.7,   1.0,
3220201813, 090520, 065831,   24.1,   1.0,
3220201812, 090520, 065647,   45.8,   2.0,
3220201811, 090520, 065507,   59.8,   1.0,
3220201810, 090520, 065350,   74.6,   3.0,
3220201809, 090520, 065256,   84.7,   6.0,
3220201808, 090520, 065119,  100.4,  10.0,
3220201807, 090520, 064950,  115.8,  21.0,
3220201806, 090520, 064840,  125.1,  21.0,
3220201805, 090520, 064725,  135.4,  18.0,
3220201804, 090520, 064611,  149.8,  15.0,
3220201803, 090520, 064454,  174.2,   4.0,
3230201514, 092920, 071152,    4.6,   1.0,
3230201512, 092920, 070802,   45.2,   1.0,
3230201511, 092920, 070632,   58.3,   3.0,
3230201510, 092920, 070502,   75.7,   9.0,
3230201509, 092920, 070341,   85.5,  12.0,
3230201508, 092920, 070211,   99.0,  15.0,
3230201507, 092920, 070036,  114.9,  24.0,
3230201506, 092920, 065926,  124.8,   6.0,
3230201505, 092920, 065806,  135.3,   7.0,
3230201504, 092920, 065652,  150.6,   7.0,
3230201503, 092920, 065526,  175.2,   2.0,
3240201514, 112120, 070335,    4.5,   4.0,
3240201513, 112120, 070155,   24.9,   6.0,
3240201512, 112120, 070020,   44.2,   3.0,
3240201511, 112120, 065854,   60.2,   0.0,
3240201510, 112120, 065735,   74.2,   0.0,
3240201509, 112120, 065615,   84.3,  19.0,
3240201508, 112120, 065509,   99.4,  11.0,
3240201507, 112120, 065359,  114.3,   4.0,
3240201506, 112120, 065300,  123.3,   5.0,
3240201505, 112120, 065145,  135.3,   6.0,
3240201504, 112120, 065015,  151.6,   2.0,
3240201503, 112120, 064850,  173.7,   1.0,
3250201416, 122020, 064528,    4.7,   5.0,
3250201414, 122020, 064352,   23.8,   6.0,
3250201412, 122020, 064121,   59.8,   5.0,
3250201411, 122020, 064003,   74.4,   6.0,
3250201410, 122020, 063841,   84.8,   8.0,
3250201409, 122020, 063734,   99.8,  41.0,
3250201408, 122020, 063646,  103.2,  33.0,
3250201407, 122020, 063534,  114.2,  21.0,
3250201406, 122020, 063437,  123.5,  18.0,
3250201405, 122020, 063345,  133.9,   7.0,
3250201404, 122020, 063237,  150.3,   5.0,
3250201403, 122020, 063118,  172.8,   2.0,
3260201414, 011421, 071711,    4.3,   2.0,
3260201413, 011421, 071606,   23.2,   3.0,
3260201412, 011421, 071448,   46.1,   2.0,
3260201411, 011421, 071355,   59.1,   4.0,
3260201410, 011421, 071253,   75.1,   5.0,
3260201409, 011421, 071202,   85.1,   5.0,
3260201408, 011421, 071048,   99.1,   9.0,
3260201407, 011421, 070918,  115.0,  27.0,
3260201406, 011421, 070812,  125.7,  35.0,
3260201405, 011421, 070706,  134.6,  22.0,
3260201404, 011421, 070547,  148.9,  12.0,
3260201403, 011421, 070421,  171.8,   4.0,
3270201414, 021821, 071024,    4.5,   2.0,
3270201413, 021821, 070859,   24.0,   2.0,
3270201412, 021821, 070729,   45.7,   3.0,
3270201411, 021821, 070619,   58.5,   4.0,
3270201410, 021821, 070459,   74.7,   5.0,
3270201409, 021821, 070349,   83.2,   7.0,
3270201408, 021821, 070229,   99.5,  10.0,
3270201407, 021821, 070108,  112.6,   6.0,
3270201406, 021821, 070004,  124.3,   7.0,
3270201405, 021821, 065853,  133.1,  26.0,
3270201404, 021821, 065739,  148.8,  27.0,
3270201403, 021821, 065459,  174.0,  16.0,
3280201023, 032521, 072225,    5.2,   2.0,
3280201021, 032521, 072045,   25.8,   2.0,
3280201019, 032521, 071901,   44.3,   4.0,
3280201018, 032521, 071730,   60.5,   4.0,
3280201014, 032521, 071541,   75.3,   5.0,
3280201013, 032521, 071421,   85.5,   8.0,
3280201010, 032521, 071225,   99.3,  15.0,
3280201009, 032521, 071055,  115.3,   5.0,
3280201006, 032521, 070911,  125.6,  30.0,
3280201005, 032521, 070726,  135.7,  16.0,
3280201004, 032521, 070555,  149.5,  15.0,
3280201003, 032521, 070335,  175.3,   6.0,
3290201424, 041521, 070445,    4.5,   2.0,
3290201423, 041521, 070248,   24.9,   2.0,
3290201422, 041521, 070116,   44.9,   3.0,
3290201421, 041521, 065943,   60.1,   7.0,
3290201410, 041521, 065607,   74.9,   6.0,
3290201409, 041521, 065430,   85.3,   8.0,
3290201408, 041521, 065147,   97.8,  21.0,
3290201407, 041521, 064957,  113.4,  22.0,
3290201406, 041521, 064851,  122.7,  49.0,
3290201405, 041521, 064755,  134.5,  46.0,
3290201404, 041521, 064645,  148.1,  28.0,
3290201403, 041521, 064527,  173.9,   9.0,
3300201424, 051821, 070500,    4.9,   1.0,
3300201423, 051821, 070320,   23.9,   0.0,
3300201422, 051821, 070135,   45.1,   6.0,
3300201421, 051821, 065945,   58.2,   5.0,
3300201420, 051821, 065844,   71.8,   4.0,
3300201419, 051821, 065740,   83.2,   5.0,
3300201418, 051821, 065630,   99.3,   7.0,
3300201417, 051821, 065525,  113.3,   8.0,
3300201416, 051821, 065430,  123.7,   8.0,
3300201405, 051821, 065150,  133.7,  39.0,
3300201404, 051821, 065040,  149.8,  29.0,
3300201403, 051821, 064920,  172.9,  19.0,
3310201224, 062421, 071716,    4.9,   2.0,
3310201223, 062421, 071600,   25.2,   2.0,
3310201222, 062421, 071441,   45.3,   4.0,
3310201221, 062421, 071316,   60.1,   5.0,
3310201220, 062421, 071141,   75.3,   5.0,
3310201219, 062421, 071016,   85.7,   6.0,
3310201218, 062421, 070846,  100.9,   8.0,
3310201216, 062421, 070626,  115.4,   8.0,
3310201214, 062421, 070426,  125.8,  19.0,
3310201212, 062421, 070225,  136.1,  15.0,
3310201209, 062421, 065926,  150.6,   9.0,
3310201204, 062421, 065426,  176.3,   2.0,
3320201314, 071821, 074517,    5.0,   3.0,
3320201313, 071821, 074343,   25.7,   3.0,
3320201312, 071821, 074153,   46.6,   4.0,
3320201311, 071821, 074018,   60.6,   5.0,
3320201310, 071821, 073918,   75.4,   7.0,
3320201309, 071821, 073814,   85.3,   9.0,
3320201308, 071821, 073652,  101.5,   6.0,
3320201307, 071821, 073548,  114.5,   7.0,
3320201306, 071821, 073448,  124.7,   6.0,
3320201305, 071821, 073348,  135.4,   7.0,
3320201304, 071821, 073243,  150.8,  30.0,
3320201303, 071821, 073123,  175.0,  23.0,
3330201720, 103121, 070907,    4.9,   4.0,
3330201719, 103121, 070718,   23.4,   2.0,
3330201717, 103121, 070512,   44.2,   4.0,
3330201715, 103121, 070232,   59.9,   5.0,
3330201714, 103121, 070052,   75.8,  10.0,
3330201713, 103121, 065932,   85.2,  10.0,
3330201712, 103121, 065758,  100.3,  20.0,
3330201711, 103121, 065632,  114.7,  26.0,
3330201709, 103121, 065452,  125.3,  31.0,
3330201708, 103121, 065310,  135.8,  29.0,
3330201706, 103121, 065107,  150.3,  25.0,
3330201705, 103121, 064907,  174.8,   1.0,
