Hawaii Ocean Time-series : 10-Aug-2023 04:30:29
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, sil, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0400200217, -00009, -00009,   76.8,   0.41,
0400200615, -00009, -00009,   74.7,   1.36,
0410200614, -00009, -00009,   74.7,   1.44,
0420200206, -00009, -00009,   75.0,   1.14,
0430200606, -00009, -00009,   75.0,   0.87,
0440200507, 012093, 095907,   75.5,   1.21,
0450200614, 021793, 070157,   74.3,   1.30,
0460200316, 041493, 070643,   75.5,   1.23,
0470200123, 052093, 012905,   78.9,   1.26,
0470200916, 052193, 015822,   74.7,   0.87,
0490200223, -00009, -00009,   74.2,   1.32,
0490200716, 091493, 062523,   76.2,   1.25,
0500200615, 102993, 073442,   78.9,   1.18,
0510200415, 012094, 090613,   76.6,   1.29,
0520200223, 021694, 213740,   79.6,   1.89,
0520200511, 021794, 065000,   77.8,   1.60,
0530200614, 030994, 060130,   75.0,   1.66,
0540201314, 061994, 225807,   75.4,   0.97,
0550200219, 072594, 014255,   77.1,   1.03,
0550200416, 072594, 080028,   74.3,   1.00,
0560200222, 082994, 213946,   76.2,   0.93,
0560200514, 083094, 063820,   75.9,   0.89,
0570200414, 092394, 080124,   75.2,   1.04,
0580200222, 101494, 221002,   70.9,   1.36,
0580200615, 101594, 085919,   74.5,   1.32,
0590200514, 112094, 073739,   74.0,   1.46,
0600200221, 020595, 231040,   74.2,   1.80,
0600200515, 020695, 075314,   74.9,   1.81,
0610200222, 030495, 022219,   75.9,   1.34,
0610200415, 030495, 075325,   78.0,   1.45,
0620201517, 040795, 130840,   74.3,   1.20,
0630200515, 050795, 085509,   75.6,   1.31,
0640200516, 073095, 082228,   74.9,   1.15,
0650200221, 082895, 013735,   75.3,   1.72,
0650200417, 082895, 072757,   74.4,   1.65,
0660200320, 092795, 010314,   70.2,   2.22,
0660200420, 092795, 040706,   73.9,   2.08,
0660200515, 092795, 065545,   74.5,   2.13,
0670200615, 102795, 055948,   75.0,   1.12,
0680200221, 111695, 180001,   77.6,   1.08,
0680200615, 111795, 055436,   74.5,   1.34,
0690200714, 011796, 075136,   74.6,   1.29,
0700200614, 032796, 075412,   72.8,   1.06,
0710200223, 042396, 190908,   76.6,   1.18,
0710200615, 042496, 065613,   74.1,   1.08,
0720200214, 052296, 060206,   75.1,   1.85,
0730200615, 062696, 065721,   74.4,   1.40,
0740200615, 072796, 065009,   74.8,   1.30,
0750200221, 082096, 202337,   76.1,   1.65,
0750200616, 082196, 075507,   74.5,   1.67,
0760200123, 100196, 145712,   79.4,   1.68,
0760200221, 100196, 180649,   70.0,   1.32,
0760200616, 100296, 065318,   73.8,   1.36,
0770200219, 103096, 010839,   72.7,   2.14,
0770200415, 103096, 065528,   74.1,   1.62,
0780200223, 121096, 210659,   74.9,   1.72,
0780200614, 121196, 092411,   74.2,   1.79,
0790200615, 010897, 075713,   75.0,   2.33,
0800200615, 021897, 070040,   74.5,   1.74,
0810200123, 031197, 174128,   73.0,   1.84,
0810200223, 031197, 203641,   74.8,   1.74,
0810200615, 031297, 065946,   75.2,   1.87,
0820200222, 040897, 190925,   77.7,   3.25,
0830200618, 050797, 065548,   74.6,   1.51,
0840200223, 060397, 191231,   72.9,   0.90,
0840200615, 060497, 065231,   75.4,   0.74,
0850200615, 070997, 065909,   75.3,   1.55,
0860200215, 080297, 075501,   77.3,   1.35,
0860201323, 080397, 190229,   77.2,   1.00,
0870200215, 092597, 085908,   75.5,   1.47,
0870200622, 092597, 215231,   72.9,   1.01,
0880200215, 120597, 050152,   73.8,   1.75,
0890200223, 011098, 191100,   73.9,   1.26,
0890200615, 011198, 065317,   75.3,   1.17,
0900200515, 021998, 055616,   74.0,   1.32,
0910200615, 031898, 065612,   74.6,   2.22,
0920200615, 041598, 070034,   74.3,   1.53,
0930200615, 051398, 070007,   74.6,   1.08,
0940200123, 061698, 230856,   77.1,   1.50,
0940200315, 061798, 080449,   74.7,   1.40,
0950200221, 071598, 050346,   74.7,   1.28,
0950200315, 071598, 080131,   75.6,   1.34,
0960200315, 081098, 065930,   75.1,   1.47,
0970200315, 092898, 075707,   75.0,   1.30,
0980200222, 101898, 200518,   78.2,   1.45,
0980200615, 101998, 075741,   74.8,   1.57,
0990200222, 111098, 191519,   76.6,   1.43,
0990200615, 111198, 065622,   75.7,   1.09,
1000200615, 120998, 085456,   75.6,   0.90,
1010200615, 011399, 095132,   74.6,   1.48,
1020200415, 021899, 092129,   76.1,   1.60,
1030200615, 031799, 075303,   75.3,   1.26,
1040200816, 041499, 095058,   75.1,   1.30,
1050200615, 051099, 075546,   75.7,   1.59,
1060200615, 071499, 075415,   73.9,   1.40,
1070200915, 081499, 075021,   75.0,   1.68,
1080200222, 101499, 205845,   79.8,   1.29,
1080200615, 101599, 084832,   74.1,   1.24,
1090200222, 110899, 194336,   78.4,   1.40,
1090200615, 110999, 065047,   74.9,   1.50,
1100200615, 121599, 074945,   74.5,   1.20,
1110200615, 020300, 065732,   74.7,   1.61,
1120200715, 030100, 064934,   75.6,   1.27,
1130200615, 032900, 074821,   74.2,   1.49,
1140200222, 042500, 195600,   70.4,   1.61,
1140200615, 042600, 075153,   75.0,   1.59,
1150200222, 052300, 195603,   75.8,   1.42,
1160200322, 062000, 195340,   74.4,   1.50,
1160200715, 062100, 075255,   74.8,   1.43,
1170200515, 072600, 075924,   75.1,   1.35,
1180200715, 082300, 065010,   73.9,   1.63,
1190200323, 101700, 220248,   72.3,   1.40,
1190200713, 101800, 095723,   75.0,   1.27,
1200200614, 113000, 065213,   74.5,   1.39,
1210200811, 122000, 094904,   72.8,   2.25,
1220200611, 011701, 064400,   74.1,   1.75,
1230200312, 021501, 031005,   73.8,   1.44,
1240200114, 032101, 013101,   73.4,   1.88,
1240200323, 032101, 100018,   73.3,   1.65,
1250200222, 041701, 190240,   78.4,   1.22,
1260200611, 051701, 064810,   75.0,   1.50,
1290201521, 080901, 065608,   74.5,   1.50,
1300200222, 100101, 190518,   72.3,   1.29,
1350200221, 022002, 190110,   75.2,   1.38,
1360200323, 031202, 185924,   74.6,   1.19,
1370200221, 052002, 190706,   74.3,   1.30,
1410200223, 110302, 192018,   73.8,   1.14,
1440200222, 011603, 220835,   71.1,   1.03,
1450200222, 022503, 190040,   74.1,   1.07,
1480200222, 052003, 195610,   76.9,   0.86,
1500200222, 071903, 192838,   75.1,   1.67,
1530200222, 110903, 191939,   79.0,   0.94,
1560200222, 022404, 190118,   73.4,   1.03,
1590200222, 051804, 185644,   74.0,   1.09,
1610200314, 071404, 001933,   74.4,   0.95,
1650200323, 112704, 192934,   71.2,   0.98,
1690200222, 051705, 233414,   79.1,   1.35,
1710201519, 071805, 041804,   76.1,   0.98,
1720200423, 081305, 213636,   71.0,   1.27,
1780200522, 021406, 222425,   71.3,   0.85,
1830200522, 071206, 224728,   74.3,   0.92,
1870200423, 110806, 224554,   71.1,   0.95,
1930200122, 070707, 153540,   70.2,   1.36,
2020200422, 062508, 224133,   79.8,   0.85,
2040200422, 081608, 222403,   75.9,   1.16,
2060200423, 120108, 000305,   71.3,   1.90,
2080200422, 012009, 232354,   75.9,   1.44,
2110200422, 052709, 224630,   71.2,   0.91,
2130200422, 072509, 103713,   72.7,   1.05,
2170200522, 120909, 220514,   76.2,   1.15,
2200200715, 040710, 065754,   76.6,   1.20,
2210200521, 051810, 221414,   75.3,   0.78,
2210200815, 051910, 065735,   74.5,   1.23,
2220200815, 060910, 070134,   74.1,   1.50,
2230200521, 070810, 233845,   70.2,   1.33,
2230200815, 070910, 084749,   74.4,   1.37,
2240200815, 080810, 070934,   75.5,   1.14,
2250200815, 090410, 102658,   76.0,   1.16,
2260200524, 100310, 221450,   75.0,   0.96,
2260200815, 100410, 070552,   75.3,   1.16,
2270200115, 112110, 062950,   74.8,   1.11,
2290200715, 012911, 065243,   74.6,   1.06,
2300200715, 030111, 065357,   75.4,   1.04,
2310200615, 041211, 090537,   75.5,   0.87,
2320200715, 051011, 072507,   75.3,   0.88,
2330200622, 072011, 020010,   77.6,   0.98,
2330200915, 072011, 104116,   74.8,   1.12,
2340200415, 083111, 011010,   74.9,   1.13,
2340201422, 090111, 070728,   78.4,   1.11,
2350200215, 092711, 005709,   76.1,   1.02,
2360200715, 110511, 095112,   74.9,   1.08,
2370200415, 112911, 084303,   74.8,   0.95,
2380200615, 122011, 060347,   73.9,   1.01,
2390200422, 011812, 224555,   70.3,   0.90,
2390200715, 011912, 064926,   76.1,   1.08,
2400200415, 032512, 182540,   76.3,   1.14,
2410201215, 050312, 215216,   73.1,   1.18,
2420200322, 053012, 223314,   74.4,   1.17,
2420201315, 060112, 040824,   74.9,   1.10,
2430200323, 062712, 005914,   71.4,   0.70,
2430200815, 062712, 161819,   74.8,   1.14,
2440200715, 080112, 065132,   75.1,   1.18,
2450200615, 081812, 065109,   75.0,   1.09,
2460200322, 091412, 231932,   78.6,   1.14,
2460200615, 091512, 070020,   75.4,   1.23,
2470200615, 100812, 074231,   75.3,   1.19,
2480200322, 120412, 005256,   73.0,   1.14,
2480200615, 120412, 082232,   75.9,   1.16,
2490200615, 021313, 070327,   75.9,   1.10,
2500200715, 030713, 071037,   75.2,   1.22,
2510200615, 040613, 070126,   75.5,   1.20,
2520200422, 051713, 232137,   72.7,   1.28,
2520200715, 051813, 071219,   74.6,   1.31,
2530200715, 062613, 070959,   75.5,   1.35,
2540200322, 091113, 224320,   70.5,   1.28,
2540200615, 091213, 070125,   75.1,   1.17,
2550200322, 100113, 222612,   75.7,   1.22,
2550200615, 100213, 065502,   76.7,   1.20,
2560200615, 102813, 070236,   75.0,   1.20,
2570200615, 112713, 071338,   74.8,   0.94,
2580200324, 122013, 223540,   70.5,   1.19,
2580200615, 122113, 071017,   75.2,   0.98,
2590200615, 011614, 072543,   75.3,   1.02,
2600200615, 021514, 090638,   75.8,   1.07,
2610200615, 030614, 070743,   75.5,   1.04,
2620200615, 041114, 070234,   75.1,   1.07,
2630200515, 060114, 065536,   75.0,   1.08,
2640200321, 063014, 220929,   77.9,   1.03,
2640200615, 070114, 071208,   75.5,   1.16,
2650200322, 091414, 220603,   79.6,   1.20,
2650200615, 091514, 071045,   75.5,   1.48,
2660200322, 101314, 221501,   79.1,   1.33,
2680200615, 121714, 102143,   75.5,   1.15,
2690200322, 022415, 233831,   75.5,   1.74,
2690200615, 022515, 072641,   74.8,   1.22,
2700200323, 033015, 022732,   73.3,   1.57,
2700200615, 033015, 124936,   74.8,   1.33,
2720200715, 052415, 070426,   75.1,   1.18,
2730200715, 062015, 071607,   74.7,   1.20,
2740200421, 071915, 215330,   70.5,   1.33,
2740200715, 072015, 065822,   75.7,   1.60,
2750200615, 081315, 070006,   75.3,   1.56,
2770200322, 101315, 220623,   74.3,   1.37,
2770200615, 101415, 064556,   75.1,   1.43,
2780200222, 111315, 224753,   70.8,   1.52,
2780200515, 111415, 071153,   74.9,   1.13,
2790200615, 120915, 065708,   74.6,   1.00,
2800200322, 011216, 215507,   75.1,   1.22,
2850200322, 071116, 221929,   79.4,   1.31,
2890200223, 012417, 002437,   79.8,   1.24,
2890200515, 012417, 082706,   73.8,   1.18,
2900200515, 022317, 101942,   75.2,   1.16,
2910200715, 032917, 113551,   75.3,   1.26,
2920200615, 042617, 071606,   75.9,   1.67,
2930200322, 052317, 224457,   74.8,   1.26,
2930200615, 052417, 074716,   74.7,   1.20,
2940200615, 062117, 075057,   75.3,   1.17,
2950200322, 080817, 222608,   74.5,   1.71,
2950200615, 080917, 065646,   75.0,   1.20,
2960200515, 100717, 073057,   76.3,   1.46,
2970200615, 110917, 070923,   75.1,   0.96,
3010200222, 041818, 024741,   75.5,   1.49,
3040200323, 072418, 222111,   72.2,   1.20,
3060200321, 101318, 002022,   70.0,   1.28,
3090200614, 011619, 081807,   73.5,   1.14,
3100200315, 022019, 084202,   75.3,   1.11,
3110200615, 050319, 072417,   74.9,   1.01,
3120200615, 061219, 072455,   75.4,   1.13,
3130200422, 070219, 015936,   79.1,   1.86,
3130200615, 070219, 070846,   74.2,   1.48,
3140200322, 080219, 230545,   75.1,   0.67,
3140200615, 080319, 071020,   75.6,   1.11,
3150200321, 090419, 215446,   75.1,   1.81,
3150200615, 090519, 071701,   73.9,   1.15,
3160200321, 101819, 001552,   74.2,   2.38,
3160200515, 101819, 065413,   73.9,   1.76,
3170200615, 122019, 072903,   75.4,   1.17,
3180200315, 010820, 055149,   75.0,   1.81,
3190200615, 013120, 095714,   74.7,   1.21,
3200200715, 071620, 070034,   74.4,   1.85,
3210200522, 080820, 221202,   75.2,   1.32,
3210200815, 080920, 065241,   74.2,   1.38,
3220200722, 090320, 222245,   72.1,   1.18,
3220201015, 090420, 071125,   74.5,   1.36,
3230200423, 092720, 222539,   80.0,   1.28,
3230200715, 092820, 065634,   75.0,   1.13,
3240200815, 112020, 072256,   74.9,   1.24,
3250200615, 121920, 070732,   73.3,   1.24,
3260200615, 011321, 065540,   75.3,   0.99,
3270200615, 021721, 070014,   76.4,   1.98,
3280200515, 032421, 071305,   72.8,   1.36,
3290200615, 041421, 065921,   73.7,   1.17,
3300200322, 051621, 221245,   75.8,   2.09,
3300200615, 051721, 065049,   73.4,   1.59,
3310200615, 062321, 065801,   74.6,   1.54,
3320200515, 071721, 070503,   75.6,   2.01,
3340200815, 120721, 041247,   74.3,   1.21,
