Hawaii Ocean Time-series : 10-Aug-2023 02:48:48
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, phos, 
#, mmddyy, hhmmss, dbar, umol/kg, 
1060200615, 071499, 075415,   73.9,   0.11,
1070200915, 081499, 075021,   75.0,   0.12,
1080200222, 101499, 205845,   79.8,   0.14,
1080200615, 101599, 084832,   74.1,   0.09,
1090200222, 110899, 194336,   78.4,   0.04,
1090200615, 110999, 065047,   74.9,   0.03,
1100200615, 121599, 074945,   74.5,   0.10,
1110200615, 020300, 065732,   74.7,   0.08,
1120200715, 030100, 064934,   75.6,   0.10,
1130200615, 032900, 074821,   74.2,   0.05,
1140200615, 042600, 075153,   75.0,   0.11,
1150200222, 052300, 195603,   75.8,   0.02,
1150200615, 052400, 075120,   74.1,   0.07,
1160200322, 062000, 195340,   74.4,   0.05,
1160200715, 062100, 075255,   74.8,   0.04,
1170200515, 072600, 075924,   75.1,   0.03,
1180200715, 082300, 065010,   73.9,   0.08,
1190200323, 101700, 220248,   72.3,   0.04,
1190200713, 101800, 095723,   75.0,   0.07,
1200200614, 113000, 065213,   74.5,   0.09,
1210200811, 122000, 094904,   72.8,   0.11,
1220200611, 011701, 064400,   74.1,   0.12,
1230200312, 021501, 031005,   73.8,   0.05,
1240200114, 032101, 013101,   73.4,   0.05,
1240200323, 032101, 100018,   73.3,   0.07,
1250200222, 041701, 190240,   78.4,   0.07,
1260200611, 051701, 064810,   75.0,   0.05,
1290201521, 080901, 065608,   74.5,   0.05,
1300200222, 100101, 190518,   72.3,   0.01,
1350200221, 022002, 190110,   75.2,   0.05,
1360200323, 031202, 185924,   74.6,   0.03,
1410200223, 110302, 192018,   73.8,   0.03,
1440200222, 011603, 220835,   71.1,   0.02,
1450200222, 022503, 190040,   74.1,   0.03,
1480200222, 052003, 195610,   76.9,   0.03,
1500200222, 071903, 192838,   75.1,   0.02,
1530200222, 110903, 191939,   79.0,   0.01,
1560200222, 022404, 190118,   73.4,   0.06,
1590200222, 051804, 185644,   74.0,   0.08,
1610200314, 071404, 001933,   74.4,   0.00,
1650200323, 112704, 192934,   71.2,   0.04,
1690200222, 051705, 233414,   79.1,   0.03,
1710201519, 071805, 041804,   76.1,   0.00,
1720200423, 081305, 213636,   71.0,   0.04,
1780200522, 021406, 222425,   71.3,   0.02,
1830200522, 071206, 224728,   74.3,   0.05,
1870200423, 110806, 224554,   71.1,   0.01,
1870200422, 110806, 224504,   77.5,   0.01,
1930200122, 070707, 153540,   70.2,   0.01,
2020200422, 062508, 224133,   79.8,   0.04,
2040200422, 081608, 222403,   75.9,   0.06,
2060200423, 120108, 000305,   71.3,   0.05,
2080200422, 012009, 232354,   75.9,   0.02,
2110200422, 052709, 224630,   71.2,   0.02,
2130200422, 072509, 103713,   72.7,   0.05,
2170200522, 120909, 220514,   76.2,   0.06,
2190200515, 031010, 182621,   75.3,   0.10,
2200200715, 040710, 065754,   76.6,   0.08,
2210200521, 051810, 221414,   75.3,   0.08,
2210200815, 051910, 065735,   74.5,   0.08,
2220200815, 060910, 070134,   74.1,   0.02,
2230200521, 070810, 233845,   70.2,   0.02,
2230200815, 070910, 084749,   74.4,   0.03,
2240200815, 080810, 070934,   75.5,   0.11,
2250200815, 090410, 102658,   76.0,   0.10,
2260200524, 100310, 221450,   75.0,   0.06,
2260200815, 100410, 070552,   75.3,   0.07,
2270200115, 112110, 062950,   74.8,   0.10,
2290200715, 012911, 065243,   74.6,   0.04,
2300200715, 030111, 065357,   75.4,   0.03,
2310200615, 041211, 090537,   75.5,   0.08,
2320200715, 051011, 072507,   75.3,   0.02,
2330200622, 072011, 020010,   77.6,   0.08,
2330200915, 072011, 104116,   74.8,   0.11,
2340200415, 083111, 011010,   74.9,   0.03,
2340201422, 090111, 070728,   78.4,   0.08,
2350200215, 092711, 005709,   76.1,   0.01,
2360200715, 110511, 095112,   74.9,   0.04,
2370200415, 112911, 084303,   74.8,   0.05,
2380200615, 122011, 060347,   73.9,   0.07,
2390200422, 011812, 224555,   70.3,   0.07,
2390200715, 011912, 064926,   76.1,   0.09,
2400200415, 032512, 182540,   76.3,   0.06,
2410201215, 050312, 215216,   73.1,   0.16,
2420200322, 053012, 223314,   74.4,   0.05,
2420201315, 060112, 040824,   74.9,   0.07,
2430200323, 062712, 005914,   71.4,   0.13,
2430200815, 062712, 161819,   74.8,   0.05,
2440200715, 080112, 065132,   75.1,   0.08,
2450200615, 081812, 065109,   75.0,   0.10,
2460200322, 091412, 231932,   78.6,   0.10,
2460200615, 091512, 070020,   75.4,   0.12,
2470200615, 100812, 074231,   75.3,   0.10,
2480200322, 120412, 005256,   73.0,   0.09,
2480200615, 120412, 082232,   75.9,   0.09,
2490200615, 021313, 070327,   75.9,   0.08,
2500200715, 030713, 071037,   75.2,   0.06,
2510200615, 040613, 070126,   75.5,   0.07,
2520200422, 051713, 232137,   72.7,   0.10,
2520200715, 051813, 071219,   74.6,   0.12,
2530200715, 062613, 070959,   75.5,   0.12,
2540200322, 091113, 224320,   70.5,   0.02,
2540200615, 091213, 070125,   75.1,   0.01,
2550200322, 100113, 222612,   75.7,   0.02,
2550200615, 100213, 065502,   76.7,   0.04,
2560200615, 102813, 070236,   75.0,   0.12,
2570200615, 112713, 071338,   74.8,   0.06,
2580200324, 122013, 223540,   70.5,   0.04,
2580200615, 122113, 071017,   75.2,   0.04,
2590200615, 011614, 072543,   75.3,   0.06,
2600200615, 021514, 090638,   75.8,   0.02,
2610200615, 030614, 070743,   75.5,   0.03,
2620200615, 041114, 070234,   75.1,   0.05,
2630200515, 060114, 065536,   75.0,   0.02,
2640200321, 063014, 220929,   77.9,   0.00,
2640200615, 070114, 071208,   75.5,   0.03,
