Hawaii Ocean Time-series : 22-Mar-2023 16:53:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
1940201207, 080507, 011521,  175.2,   0.73,
1940201206, 080507, 011345,  200.2,   0.63,
1940201205, 080507, 011135,  250.9,   0.41,
1940201204, 080507, 010810,  350.6,   0.46,
1940201203, 080507, 010801,  350.6,   0.36,
1950201323, 090407, 010015,   27.1,   2.90,
1950201322, 090407, 005831,   47.2,   2.70,
1950201316, 090407, 005606,   77.5,   2.21,
1950201315, 090407, 005415,  100.2,   1.64,
1950201309, 090407, 005216,  125.8,   0.71,
1950201308, 090407, 005040,  150.2,   0.61,
1950201307, 090407, 004920,  175.0,   0.65,
1950201306, 090407, 004755,  200.4,   0.57,
1950201305, 090407, 004545,  251.1,   0.44,
1950201304, 090407, 004237,  351.2,   0.31,
1950201303, 090407, 004230,  351.2,   0.35,
1960200524, 100307, 005448,    5.2,   2.20,
1960200523, 100307, 005328,   25.0,   2.07,
1960200522, 100307, 005218,   44.4,   2.39,
1960200516, 100307, 005028,   74.7,   2.03,
1960200515, 100307, 004908,   98.7,   2.08,
1960200509, 100307, 004718,  125.1,   1.46,
1960200508, 100307, 004605,  151.6,   0.94,
1960200507, 100307, 004418,  174.5,   0.68,
1960200506, 100307, 004257,  199.5,   0.66,
1960200505, 100307, 004108,  254.4,   0.56,
1960200504, 100307, 003825,  346.8,   0.45,
1960200503, 100307, 003819,  347.0,   0.41,
1970200524, 120207, 025432,    8.3,   2.08,
1970200523, 120207, 025138,   25.6,   2.21,
1970200516, 120207, 024612,   76.3,   2.04,
1970200509, 120207, 024013,  125.5,   1.15,
1970200508, 120207, 023744,  149.8,   0.72,
1970200507, 120207, 023552,  175.6,   0.59,
1970200506, 120207, 023307,  200.9,   0.59,
1970200504, 120207, 022727,  350.4,   0.46,
1970200503, 120207, 022717,  350.2,   0.42,
1980200624, 122107, 012502,    6.5,   1.90,
1980200623, 122107, 012237,   26.4,   2.05,
1980200622, 122107, 012121,   45.5,   1.42,
1980200616, 122107, 011855,   75.9,   1.59,
1980200615, 122107, 011709,   99.9,   1.46,
1980200609, 122107, 011440,  124.9,   1.30,
1980200608, 122107, 011305,  149.7,   0.91,
1980200607, 122107, 011136,  175.1,   0.61,
1980200606, 122107, 011006,  200.1,   0.50,
1980200605, 122107, 010724,  249.8,   0.44,
1980200604, 122107, 010442,  350.6,   0.35,
1980200603, 122107, 010434,  351.0,   0.60,
1990200524, 013008, 014714,    6.6,   2.26,
1990200523, 013008, 014413,   25.3,   1.95,
1990200522, 013008, 014248,   45.3,   2.05,
1990200516, 013008, 014029,   75.0,   2.03,
1990200515, 013008, 013858,  100.4,   1.88,
1990200509, 013008, 013638,  126.6,   1.37,
1990200508, 013008, 013508,  148.8,   0.89,
1990200507, 013008, 013328,  173.2,   0.50,
1990200506, 013008, 013143,  199.6,   0.41,
1990200505, 013008, 012908,  249.5,   0.36,
1990200504, 013008, 012614,  350.4,   0.35,
1990200503, 013008, 012603,  349.9,   0.30,
2000200523, 022408, 010929,    6.4,   1.91,
2000200520, 022408, 010629,   24.3,   2.18,
2000200518, 022408, 010359,   45.6,   1.92,
2000200516, 022408, 010133,   75.5,   1.94,
2000200514, 022408, 005903,   99.7,   1.87,
2000200512, 022408, 005707,  123.8,   1.70,
2000200510, 022408, 005450,  150.9,   1.01,
2000200508, 022408, 005209,  177.1,   0.50,
2000200506, 022408, 004951,  200.1,   0.53,
2000200505, 022408, 004636,  250.2,   0.42,
2000200504, 022408, 004141,  350.9,   0.37,
2010200521, 052808, 012420,   24.7,   2.41,
2010200519, 052808, 012252,   44.7,   2.09,
2010200517, 052808, 012105,   75.1,   2.00,
2010200515, 052808, 011940,  100.2,   1.57,
2010200513, 052808, 011805,  125.9,   0.89,
2010200510, 052808, 011510,  150.9,   0.72,
2010200508, 052808, 011330,  176.1,   0.54,
2010200506, 052808, 011140,  200.7,   0.52,
2010200504, 052808, 010430,  350.5,   0.32,
2010200503, 052808, 010420,  350.5,   0.27,
2020200523, 062608, 010513,    7.0,   2.61,
2020200521, 062608, 010202,   24.8,   2.43,
2020200519, 062608, 010003,   44.6,   2.45,
2020200517, 062608, 005743,   74.6,   2.10,
2020200515, 062608, 005548,  100.0,   1.74,
2020200513, 062608, 005353,  125.1,   1.44,
2020200510, 062608, 005043,  149.6,   0.81,
2020200508, 062608, 004828,  174.5,   0.55,
2020200506, 062608, 004638,  199.7,   0.56,
2020200505, 062608, 004423,  249.7,   0.58,
2020200504, 062608, 004038,  349.4,   0.55,
2020200503, 062608, 004028,  349.5,   0.44,
2030200623, 072708, 014111,    5.7,   2.24,
2030200620, 072708, 013741,   25.0,   2.16,
2030200618, 072708, 013545,   45.0,   3.04,
2030200616, 072708, 013345,   75.2,   2.34,
2030200614, 072708, 013131,  100.0,   1.79,
2030200611, 072708, 012901,  125.2,   1.43,
2030200609, 072708, 012700,  150.4,   0.88,
2030200607, 072708, 012507,  174.9,   0.68,
2030200606, 072708, 012331,  200.1,   0.61,
2030200605, 072708, 012111,  250.0,   0.65,
2030200604, 072708, 011800,  350.7,   0.77,
2030200603, 072708, 011751,  350.7,   0.67,
2040200521, 081708, 010023,    7.1,   2.47,
2040200519, 081708, 005753,   24.8,   2.58,
2040200517, 081708, 005618,   45.4,   2.47,
2040200515, 081708, 005418,   75.2,   2.34,
2040200513, 081708, 005223,  100.6,   1.97,
2040200511, 081708, 005033,  125.0,   1.50,
2040200509, 081708, 004848,  151.0,   0.89,
2040200507, 081708, 004653,  174.7,   0.72,
2040200506, 081708, 004503,  199.6,   0.64,
2040200505, 081708, 004238,  250.1,   0.42,
2040200503, 081708, 003918,  351.2,   0.44,
2050200523, 101108, 010517,    7.1,   2.98,
2050200520, 101108, 010157,   25.3,   3.19,
2050200517, 101108, 010002,   45.3,   2.84,
2050200515, 101108, 005752,   75.0,   2.75,
2050200513, 101108, 005602,   99.7,   1.73,
2050200511, 101108, 005423,  126.1,   1.24,
2050200509, 101108, 005222,  149.4,   0.75,
2050200507, 101108, 005032,  175.3,   0.47,
2050200506, 101108, 004852,  199.3,   0.58,
2050200505, 101108, 004627,  250.4,   0.51,
2050200504, 101108, 004320,  349.5,   0.67,
2050200503, 101108, 004313,  349.5,   0.39,
2060200523, 120108, 025347,    9.7,   2.27,
2060200521, 120108, 024944,   25.3,   2.29,
2060200517, 120108, 024749,   44.7,   2.23,
2060200515, 120108, 024609,   74.8,   2.10,
2060200513, 120108, 024433,   99.8,   1.61,
2060200511, 120108, 024309,  123.7,   1.05,
2060200509, 120108, 024134,  148.1,   0.69,
2060200507, 120108, 024004,  175.2,   0.51,
2060200506, 120108, 023836,  200.8,   0.52,
2060200505, 120108, 023643,  251.3,   0.44,
2060200504, 120108, 023338,  349.2,   0.36,
2060200503, 120108, 023329,  348.8,   0.33,
2080200521, 012109, 021658,    7.3,   1.84,
2080200519, 012109, 021214,   25.3,   1.83,
2080200517, 012109, 021010,   45.1,   1.69,
2080200515, 012109, 020703,   75.7,   1.59,
2080200513, 012109, 020433,  100.3,   1.18,
2080200511, 012109, 020204,  124.9,   0.94,
2080200509, 012109, 015946,  150.7,   0.66,
2080200507, 012109, 015714,  174.9,   0.52,
2080200506, 012109, 015436,  200.5,   0.41,
2080200505, 012109, 015036,  252.9,   0.38,
2080200504, 012109, 014534,  350.6,   0.36,
2080200503, 012109, 014525,  350.9,   0.36,
2090200524, 021809, 022752,   10.0,   2.64,
2090200523, 021809, 022629,   29.1,   1.83,
2090200520, 021809, 022313,   43.6,   1.79,
2090200519, 021809, 022124,   74.9,   1.92,
2090200518, 021809, 021934,  100.1,   1.56,
2090200517, 021809, 021744,  125.4,   1.33,
2090200508, 021809, 021444,  149.8,   0.85,
2090200507, 021809, 021304,  174.6,   0.57,
2090200506, 021809, 021114,  199.5,   0.48,
2090200505, 021809, 020854,  249.1,   0.60,
2090200504, 021809, 020514,  349.8,   0.46,
2090200503, 021809, 020455,  349.5,   0.41,
2100200523, 042909, 010942,    5.3,   1.67,
2100200520, 042909, 010657,   25.0,   2.08,
2100200518, 042909, 010447,   45.6,   2.11,
2100200516, 042909, 010227,   75.7,   1.73,
2100200514, 042909, 010027,  100.2,   2.16,
2100200511, 042909, 005706,  125.4,   1.45,
2100200509, 042909, 005437,  149.8,   0.96,
2100200507, 042909, 005237,  175.1,   0.61,
2100200506, 042909, 004937,  200.1,   0.60,
2100200505, 042909, 004706,  250.3,   0.50,
2100200504, 042909, 004344,  350.1,   0.39,
2100200503, 042909, 004337,  350.1,   0.41,
2110200523, 052809, 013900,    5.2,   2.16,
2110200520, 052809, 013700,   25.1,   1.86,
2110200517, 052809, 013516,   45.4,   1.92,
2110200515, 052809, 013317,   75.8,   1.85,
2110200513, 052809, 013126,  101.2,   1.54,
2110200511, 052809, 012946,  125.3,   1.30,
2110200509, 052809, 012800,  151.8,   1.02,
2110200507, 052809, 012536,  175.4,   0.88,
2110200506, 052809, 012411,  201.4,   0.53,
2110200505, 052809, 012115,  253.6,   0.36,
2110200504, 052809, 011810,  351.5,   0.52,
2110200503, 052809, 011800,  351.5,   0.47,
2120200623, 070409, 032107,    7.4,   1.97,
2120200621, 070409, 031845,   25.7,   2.01,
2120200620, 070409, 031626,   45.0,   2.12,
2120200619, 070409, 031420,   74.9,   2.16,
2120200617, 070409, 030955,   99.5,   1.79,
2120200615, 070409, 030745,  123.7,   1.42,
2120200613, 070409, 030520,  148.7,   0.98,
2120200611, 070409, 030215,  175.1,   0.79,
2120200609, 070409, 025930,  200.2,   0.70,
2120200607, 070409, 025708,  249.0,   0.38,
2120200604, 070409, 025300,  348.6,   0.42,
2120200603, 070409, 025230,  348.7,   0.40,
2130200624, 072509, 161507,    8.0,   2.07,
2130200613, 072509, 161112,   25.0,   1.95,
2130200612, 072509, 160927,   46.3,   2.12,
2130200611, 072509, 160757,   75.6,   2.43,
2130200610, 072509, 160632,   99.7,   1.96,
2130200609, 072509, 160457,  125.0,   1.37,
2130200608, 072509, 160337,  150.1,   0.86,
2130200607, 072509, 160207,  174.9,   0.84,
2130200606, 072509, 160022,  199.6,   0.86,
2130200605, 072509, 155812,  250.5,   0.30,
2130200604, 072509, 155514,  349.9,   0.40,
2130200603, 072509, 155507,  350.0,   0.50,
2140200522, 081909, 021433,    6.0,   2.51,
2140200519, 081909, 020950,   26.7,   2.79,
2140200516, 081909, 020603,   45.7,   3.02,
2140200513, 081909, 020158,   72.7,   3.15,
2140200511, 081909, 015958,  100.5,   2.27,
2140200509, 081909, 015659,  124.8,   1.53,
2140200508, 081909, 015458,  150.3,   1.24,
2140200507, 081909, 015128,  175.7,   0.98,
2140200505, 081909, 014559,  249.5,   0.63,
2140200504, 081909, 014058,  349.6,   0.42,
2140200503, 081909, 014047,  349.7,   0.42,
2150200617, 092509, 013238,    5.4,   2.16,
2150200615, 092509, 013058,   25.8,   2.30,
2150200614, 092509, 012918,   45.1,   2.25,
2150200613, 092509, 012748,   74.4,   1.70,
2150200611, 092509, 012608,  100.5,   1.63,
2150200610, 092509, 012438,  125.2,   0.77,
2150200608, 092509, 012258,  151.8,   0.65,
2150200607, 092509, 012128,  175.0,   0.61,
2150200606, 092509, 011958,  199.7,   0.51,
2150200605, 092509, 011801,  250.7,   0.39,
2150200604, 092509, 011459,  350.4,   0.37,
2150200603, 092509, 011429,  350.7,   0.35,
2160200515, 110409, 015409,    4.9,   2.15,
2160200514, 110409, 015234,   24.8,   2.08,
2160200513, 110409, 015050,   46.2,   1.98,
2160200511, 110409, 014915,   72.9,   2.06,
2160200510, 110409, 014740,  105.8,   1.73,
2160200509, 110409, 014558,  130.0,   1.27,
2160200508, 110409, 014425,  151.8,   2.30,
2160200507, 110409, 014300,  171.9,   1.62,
2160200506, 110409, 014144,  196.6,   0.48,
2160200505, 110409, 013950,  248.8,   0.45,
2160200504, 110409, 013640,  356.1,   1.57,
2160200503, 110409, 013632,  354.9,   0.35,
2170200616, 121009, 005125,    5.5,   1.75,
2170200614, 121009, 005005,   25.0,   1.90,
2170200612, 121009, 004845,   45.6,   2.00,
2170200611, 121009, 004724,   75.2,   1.79,
2170200610, 121009, 004553,   99.3,   1.79,
2170200609, 121009, 004423,  123.3,   1.31,
2170200608, 121009, 004312,  149.8,   0.82,
2170200607, 121009, 004155,  173.5,   0.80,
2170200606, 121009, 004040,  200.4,   0.49,
2170200605, 121009, 003855,  251.3,   0.42,
2190200322, 031010, 012938,    5.8,   1.82,
2190200320, 031010, 012754,   25.3,   4.94,
2190200318, 031010, 012623,   45.1,   1.69,
2190200315, 031010, 012353,   80.1,   1.64,
2190200313, 031010, 012209,   93.3,   3.62,
2190200311, 031010, 012024,  128.6,   1.70,
2190200310, 031010, 011820,  155.5,   1.08,
2190200309, 031010, 011454,  179.1,   1.18,
2190200307, 031010, 011153,  205.2,   2.57,
2190200306, 031010, 010953,  256.4,   0.95,
2190200305, 031010, 010709,  354.3,   0.37,
2190200304, 031010, 010703,  353.8,   1.38,
2200200516, 040710, 005850,    5.0,   1.68,
2200200515, 040710, 005740,   24.8,   1.94,
2200200513, 040710, 005625,   45.5,   2.15,
2200200512, 040710, 005456,   75.5,   2.09,
2200200510, 040710, 005326,  101.5,   1.79,
2200200509, 040710, 005207,  125.1,   1.63,
2200200508, 040710, 005052,  149.1,   0.80,
2200200507, 040710, 004938,  175.3,   0.74,
2200200506, 040710, 004824,  200.5,   0.63,
2200200505, 040710, 004641,  248.5,   1.31,
2200200504, 040710, 004404,  351.8,   0.99,
2200200503, 040710, 004356,  351.4,   0.79,
2210200619, 051910, 011901,    7.8,   2.19,
2210200616, 051910, 011521,   24.7,   2.27,
2210200615, 051910, 011356,   45.2,   2.29,
2210200612, 051910, 011125,   74.8,   2.19,
2210200610, 051910, 010951,   99.4,   1.77,
2210200609, 051910, 010832,  124.0,   1.22,
2210200608, 051910, 010707,  149.4,   1.00,
2210200607, 051910, 010546,  174.9,   0.77,
2210200606, 051910, 010421,  200.5,   1.19,
2210200605, 051910, 010226,  251.3,   0.80,
2210200604, 051910, 005936,  352.7,   0.34,
2210200603, 051910, 005925,  352.6,   0.87,
2220200618, 060910, 005739,    5.6,   2.32,
2220200616, 060910, 005626,   24.4,   2.26,
2220200615, 060910, 005505,   45.6,   2.29,
2220200612, 060910, 005241,   75.8,   2.99,
2220200610, 060910, 005113,  101.7,   2.11,
2220200609, 060910, 005007,  123.8,   1.53,
2220200608, 060910, 004855,  149.2,   1.30,
2220200607, 060910, 004734,  178.0,   0.89,
2220200606, 060910, 004546,  201.2,   0.64,
2220200605, 060910, 004400,  252.9,   0.48,
2220200604, 060910, 004107,  353.8,   0.35,
2220200603, 060910, 004057,  352.6,   0.43,
2230200619, 070910, 025130,    4.7,   2.62,
2230200617, 070910, 024858,   25.1,   2.57,
2230200616, 070910, 024630,   45.7,   2.30,
2230200614, 070910, 024409,   75.1,   2.31,
2230200612, 070910, 024204,   99.7,   3.06,
2230200611, 070910, 024000,  124.8,   1.29,
2230200609, 070910, 023749,  150.0,   0.64,
2230200608, 070910, 023549,  175.9,   0.49,
2230200607, 070910, 023356,  199.8,   0.59,
2230200605, 070910, 023119,  249.7,   0.51,
2230200604, 070910, 022801,  349.3,   0.44,
2230200603, 070910, 022749,  349.3,   0.19,
2240200621, 080810, 011852,    6.7,   2.12,
2240200617, 080810, 011502,   24.7,   2.58,
2240200616, 080810, 011334,   44.5,   2.27,
2240200615, 080810, 011208,   74.5,   2.16,
2240200614, 080810, 011040,   99.6,   2.46,
2240200613, 080810, 010852,  125.2,   1.72,
2240200611, 080810, 010658,  150.6,   1.04,
2240200610, 080810, 010504,  175.4,   0.87,
2240200609, 080810, 010250,  200.4,   0.64,
2240200608, 080810, 010015,  251.5,   0.56,
2240200607, 080810, 005608,  352.5,   0.41,
2240200606, 080810, 005555,  351.9,   0.40,
2250200617, 090410, 050222,    6.6,   2.35,
2250200615, 090410, 045927,   25.3,   2.31,
2250200613, 090410, 045622,   45.0,   2.34,
2250200611, 090410, 045256,   74.6,   2.25,
2250200610, 090410, 045058,   99.6,   1.70,
2250200609, 090410, 044900,  125.3,   1.06,
2250200608, 090410, 044632,  150.7,   0.72,
2250200607, 090410, 044353,  175.3,   0.62,
2250200606, 090410, 044107,  200.0,   0.52,
2250200605, 090410, 043804,  251.0,   1.01,
2250200604, 090410, 043448,  350.2,   1.22,
2250200603, 090410, 043439,  350.2,   0.20,
2260200614, 100410, 005827,    5.8,   2.66,
2260200613, 100410, 005617,   26.3,   2.73,
2260200612, 100410, 005403,   45.5,   2.59,
2260200611, 100410, 005131,   75.3,   2.63,
2260200610, 100410, 004927,  100.7,   2.05,
2260200609, 100410, 004717,  125.7,   1.45,
2260200608, 100410, 004400,  150.4,   0.77,
2260200607, 100410, 004218,  175.2,   0.26,
2260200606, 100410, 004026,  199.7,   0.59,
2260200605, 100410, 003830,  250.5,   0.66,
2260200604, 100410, 003516,  350.6,   0.44,
2260200603, 100410, 003501,  350.6,   0.67,
2270200724, 112210, 020424,    4.8,   3.74,
2270200722, 112210, 020314,   24.8,   1.80,
2270200721, 112210, 020217,   43.9,   1.86,
2270200720, 112210, 020048,   74.4,   1.60,
2270200719, 112210, 015938,  100.3,   1.64,
2270200717, 112210, 015805,  124.6,   0.99,
2270200715, 112210, 015653,  150.5,   2.95,
2270200713, 112210, 015545,  175.0,   1.01,
2270200711, 112210, 015434,  200.1,   0.55,
2270200708, 112210, 015241,  250.1,   0.84,
2270200704, 112210, 014857,  349.3,   0.33,
2270200703, 112210, 014844,  349.1,   0.51,
2290200514, 012911, 010332,    5.5,   1.78,
2290200513, 012911, 010036,   25.9,   1.80,
2290200512, 012911, 005852,   45.2,   2.17,
2290200511, 012911, 005702,   76.4,   2.05,
2290200510, 012911, 005522,   99.7,   1.43,
2290200509, 012911, 005350,  125.1,   1.01,
2290200508, 012911, 005237,  150.2,   0.61,
2290200507, 012911, 005109,  174.9,   0.89,
2290200506, 012911, 004940,  200.5,   0.35,
2290200505, 012911, 004731,  250.3,   0.60,
2290200504, 012911, 004440,  349.6,   1.27,
2290200503, 012911, 004430,  349.6,   0.55,
2300200521, 030111, 012516,    7.1,   1.95,
2300200519, 030111, 012251,   25.1,   1.95,
2300200517, 030111, 012110,   46.5,   1.81,
2300200515, 030111, 011915,   75.3,   1.52,
2300200513, 030111, 011725,   99.8,   1.64,
2300200511, 030111, 011530,  125.3,   1.07,
2300200509, 030111, 011345,  150.1,   1.44,
2300200507, 030111, 011156,  175.6,   0.91,
2300200506, 030111, 011005,  199.3,   0.53,
2300200505, 030111, 010735,  250.6,   0.36,
2300200504, 030111, 010401,  350.7,   0.82,
2300200503, 030111, 010356,  350.8,   0.63,
2310200522, 041211, 054514,    8.6,   2.15,
2310200520, 041211, 054251,   24.7,   2.11,
2310200519, 041211, 054107,   44.6,   2.08,
2310200518, 041211, 053912,   75.1,   2.23,
2310200517, 041211, 053707,   99.8,   1.76,
2310200515, 041211, 053512,  126.3,   1.72,
2310200513, 041211, 053317,  151.9,   1.15,
2310200511, 041211, 053112,  175.3,   0.83,
2310200509, 041211, 052907,  199.5,   0.77,
2310200507, 041211, 052622,  251.1,   0.53,
2310200504, 041211, 052312,  349.0,   0.81,
2310200503, 041211, 052306,  348.7,   0.35,
2320200516, 051011, 005926,    5.3,   2.51,
2320200515, 051011, 005811,   25.7,   2.28,
2320200514, 051011, 005707,   44.3,   2.33,
2320200513, 051011, 005546,   74.1,   1.94,
2320200512, 051011, 005437,   98.8,   1.53,
2320200509, 051011, 005231,  123.9,   1.02,
2320200508, 051011, 005126,  151.5,   1.26,
2320200507, 051011, 005017,  175.1,   0.64,
2320200506, 051011, 004912,  200.6,   0.57,
2320200505, 051011, 004737,  250.8,   0.65,
2320200504, 051011, 004516,  350.3,   0.55,
2320200503, 051011, 004512,  350.0,   0.43,
2330200720, 072011, 043725,   25.2,   2.06,
2330200718, 072011, 043521,   44.4,   2.01,
2330200717, 072011, 043256,   75.1,   1.78,
2330200715, 072011, 043010,   99.6,   1.71,
2330200714, 072011, 042741,  124.7,   1.56,
2330200709, 072011, 042055,  199.7,   0.62,
2340201121, 083111, 220537,    5.1,   2.61,
2340201119, 083111, 220346,   25.1,   2.81,
2340201118, 083111, 220231,   44.6,   2.63,
2340201116, 083111, 220012,   74.7,   2.00,
2340201115, 083111, 215812,  100.2,   1.30,
2340201113, 083111, 215622,  124.5,   0.98,
2340201112, 083111, 215443,  149.8,   0.74,
2340201111, 083111, 215256,  175.2,   0.49,
2340201109, 083111, 215113,  199.8,   0.61,
2340201108, 083111, 214834,  249.8,   0.38,
2340201107, 083111, 214446,  349.4,   0.46,
2340201106, 083111, 214436,  349.7,   0.38,
2350200724, 092711, 164143,    5.2,   2.60,
2350200723, 092711, 163954,   25.2,   1.84,
2350200722, 092711, 163812,   46.1,   2.17,
2350200721, 092711, 163620,   75.1,   2.42,
2350200720, 092711, 163445,  100.8,   2.02,
2350200714, 092711, 163205,  125.2,   1.51,
2350200713, 092711, 163022,  149.9,   0.96,
2350200712, 092711, 162836,  175.4,   0.69,
2350200706, 092711, 162559,  200.2,   0.85,
2350200705, 092711, 162332,  250.8,   0.50,
2350200704, 092711, 162017,  351.6,   0.36,
2350200703, 092711, 162007,  351.6,   0.40,
2360200523, 110511, 031027,    5.7,   3.39,
2360200519, 110511, 030758,   25.8,   2.35,
2360200517, 110511, 030623,   44.6,   2.20,
2360200515, 110511, 030407,   76.9,   2.09,
2360200513, 110511, 030222,  103.0,   1.38,
2360200511, 110511, 030053,  126.8,   1.08,
2360200509, 110511, 025923,  150.6,   2.22,
2360200507, 110511, 025748,  174.3,   0.87,
2360200506, 110511, 025612,  200.6,   1.11,
2360200505, 110511, 025414,  253.5,   1.17,
2360200504, 110511, 025009,  350.5,   0.88,
2360200503, 110511, 025003,  350.4,   0.68,
2370200215, 112911, 030718,    4.8,   2.03,
2370200213, 112911, 030520,   24.7,   1.87,
2370200212, 112911, 030410,   44.8,   1.96,
2370200211, 112911, 030242,   76.0,   1.92,
2370200210, 112911, 030120,   97.5,   1.79,
2370200209, 112911, 025952,  123.9,   0.93,
2370200208, 112911, 025633,  150.5,   0.95,
2370200207, 112911, 025505,  169.8,   0.76,
2370200206, 112911, 025325,  197.2,   0.59,
2370200205, 112911, 025107,  251.4,   1.56,
2370200204, 112911, 024807,  349.8,   0.37,
2380200422, 122011, 001157,    5.7,   2.34,
2380200420, 122011, 001026,   24.7,   2.25,
2380200418, 122011, 000827,   43.9,   2.23,
2380200416, 122011, 000636,   73.8,   2.24,
2380200414, 122011, 000510,   99.8,   2.41,
2380200412, 122011, 000334,  123.0,   1.76,
2380200407, 121911, 235849,  199.2,   0.58,
2380200406, 121911, 235640,  248.8,   0.55,
2380200405, 121911, 235347,  348.9,   0.40,
2390200523, 011912, 013223,    5.2,   1.91,
2390200521, 011912, 013043,   25.3,   1.68,
2390200519, 011912, 012833,   45.7,   2.08,
2390200517, 011912, 012643,   76.3,   1.58,
2390200514, 011912, 012424,  100.3,   1.30,
2390200513, 011912, 012253,  127.3,   1.14,
2390200512, 011912, 012119,  147.5,   0.93,
2390200511, 011912, 011943,  176.4,   0.53,
2390200509, 011912, 011714,  205.6,   0.73,
2390200508, 011912, 011434,  251.7,   0.36,
2390200506, 011912, 010854,  364.4,   0.56,
2390200505, 011912, 010843,  361.4,   0.49,
2400200522, 032512, 214201,    4.9,   1.61,
2400200520, 032512, 213926,   25.1,   1.92,
2400200518, 032512, 213740,   46.4,   1.90,
2400200516, 032512, 213511,   75.4,   1.44,
2400200514, 032512, 213309,  101.8,   0.84,
2400200512, 032512, 213120,  125.9,   1.40,
2400200509, 032512, 212925,  150.2,   0.70,
2400200507, 032512, 212731,  175.4,   0.52,
2400200504, 032512, 212240,  251.2,   0.37,
2400200503, 032512, 211906,  350.5,   0.32,
2400200502, 032512, 211857,  350.7,   0.36,
2410200423, 050212, 015600,    4.8,   1.97,
2410200419, 050212, 015415,   25.3,   2.10,
2410200417, 050212, 015240,   44.6,   1.92,
2410200415, 050212, 015104,   75.0,   2.02,
2410200413, 050212, 014915,  100.0,   1.97,
2410200409, 050212, 014550,  152.9,   1.94,
2410200407, 050212, 014349,  174.3,   0.99,
2410200406, 050212, 014130,  202.2,   0.71,
2410200405, 050212, 013945,  253.8,   0.43,
2410200404, 050212, 013716,  348.1,   0.36,
2410200403, 050212, 013710,  348.3,   0.48,
2420200423, 053112, 021713,    5.0,   1.88,
2420200413, 053112, 021358,   25.7,   2.87,
2420200412, 053112, 021238,   45.1,   2.51,
2420200411, 053112, 021108,   75.3,   2.31,
2420200410, 053112, 020943,  100.5,   1.88,
2420200409, 053112, 020813,  125.4,   1.62,
2420200408, 053112, 020639,  152.3,   1.73,
2420200407, 053112, 020513,  174.5,   0.83,
2420200406, 053112, 020344,  201.6,   0.72,
2420200405, 053112, 020153,  250.7,   0.49,
2420200404, 053112, 015838,  350.7,   0.42,
2420200403, 053112, 015819,  350.5,   0.63,
2430200424, 062712, 033423,    5.9,   2.65,
2430200413, 062712, 033124,   23.9,   2.37,
2430200412, 062712, 032923,   43.9,   2.40,
2430200411, 062712, 032723,   74.4,   2.08,
2430200410, 062712, 032539,   99.1,   1.80,
2430200409, 062712, 032353,  125.1,   1.81,
2430200408, 062712, 032213,  148.7,   1.16,
2430200407, 062712, 032018,  174.2,   0.70,
2430200406, 062712, 031813,  199.6,   0.57,
2430200405, 062712, 031553,  249.0,   0.49,
2430200404, 062712, 031233,  348.7,   0.48,
2430200403, 062712, 031225,  348.9,   0.32,
2440200514, 080112, 012457,   10.4,   1.69,
2440200513, 080112, 012336,   25.8,   2.05,
2440200511, 080112, 012101,   75.0,   2.30,
2440200510, 080112, 011947,  100.4,   2.12,
2440200509, 080112, 011833,  125.5,   1.56,
2440200508, 080112, 011706,  150.4,   1.16,
2440200507, 080112, 011547,  175.4,   0.82,
2440200506, 080112, 011416,  200.7,   0.60,
2440200505, 080112, 011238,  250.4,   0.56,
2440200504, 080112, 011013,  349.9,   0.39,
2440200503, 080112, 011007,  350.1,   0.48,
2450200421, 081812, 013740,    5.6,   2.44,
2450200419, 081812, 013548,   24.8,   2.50,
2450200417, 081812, 013412,   45.3,   2.52,
2450200415, 081812, 013206,   75.3,   2.13,
2450200413, 081812, 013007,  100.2,   1.73,
2450200411, 081812, 012806,  125.2,   1.31,
2450200410, 081812, 012611,  150.2,   1.14,
2450200407, 081812, 012411,  175.5,   0.60,
2450200406, 081812, 012235,  200.8,   0.76,
2450200405, 081812, 011955,  250.3,   0.46,
2450200404, 081812, 011713,  350.2,   0.39,
2450200403, 081812, 011706,  350.4,   0.36,
2460200421, 091512, 021335,    7.6,   2.02,
2460200419, 091512, 021219,   25.6,   2.01,
2460200417, 091512, 021114,   44.6,   2.16,
2460200416, 091512, 021013,   75.2,   2.09,
2460200413, 091512, 020859,  100.4,   1.84,
2460200411, 091512, 020759,  125.5,   1.72,
2460200409, 091512, 020655,  150.6,   0.99,
2460200407, 091512, 020529,  174.7,   0.89,
2460200405, 091512, 020254,  250.6,   0.46,
2460200404, 091512, 020029,  350.4,   0.36,
2460200403, 091512, 020018,  350.4,   0.38,
2470200419, 100812, 011605,    5.5,   2.16,
2470200418, 100812, 011410,   25.3,   2.20,
2470200417, 100812, 011250,   45.4,   2.23,
2470200416, 100812, 011120,   75.5,   2.12,
2470200415, 100812, 010940,  100.3,   1.75,
2470200414, 100812, 010810,  124.8,   1.27,
2470200413, 100812, 010640,  150.0,   0.79,
2470200412, 100812, 010510,  175.3,   0.55,
2470200410, 100812, 010340,  200.0,   0.60,
2470200409, 100812, 010150,  250.0,   0.47,
2470200407, 100812, 005745,  350.2,   0.60,
