Hawaii Ocean Time-series : 12-Sep-2023 23:44:31
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
2170200220, 120909, 131327,    4.7,  4.182,
2170200217, 120909, 131207,   24.4,  4.343,
2170200214, 120909, 131051,   44.3,  4.249,
2170200211, 120909, 130926,   75.0,  4.400,
2170200208, 120909, 130757,   99.9,  3.639,
2170200205, 120909, 130636,  126.5,  3.007,
2190200522, 031010, 183350,    4.7,  3.750,
2190200519, 031010, 183121,   25.5,  3.829,
2190200517, 031010, 182852,   45.6,  3.875,
2190200515, 031010, 182621,   75.3,  3.323,
2190200512, 031010, 182306,  101.3,  3.408,
2190200509, 031010, 181952,  125.4,  2.727,
2200200219, 040610, 134244,    4.7,  3.281,
2200200216, 040610, 134108,   25.3,  3.850,
2200200213, 040610, 133918,   44.1,  4.257,
2200200210, 040610, 133708,   77.4,  4.437,
2200200207, 040610, 133508,   98.5,  3.853,
2200200204, 040610, 133315,  123.3,  2.486,
2200200202, 040610, 133147,  150.0,  2.279,
2210200221, 051810, 124205,    5.0,  4.498,
2210200218, 051810, 124008,   23.1,  4.626,
2210200215, 051810, 123717,   44.4,  4.923,
2210200212, 051810, 123452,   74.4,  4.473,
2210200209, 051810, 123240,  100.4,  3.543,
2210200206, 051810, 123023,  125.1,  3.284,
2220200221, 060810, 121823,    5.5,  5.374,
2220200218, 060810, 121633,   25.1,  5.620,
2220200214, 060810, 121428,   44.6,  5.188,
2220200211, 060810, 121228,   75.4,  5.061,
2220200209, 060810, 121010,  100.1,  4.513,
2220200206, 060810, 120808,  127.3,  3.660,
2220200204, 060810, 120542,  147.8,  3.447,
2230200221, 070810, 125620,    5.8,  4.489,
2230200218, 070810, 125132,   25.7,  4.675,
2230200215, 070810, 124843,   46.2,  4.635,
2230200212, 070810, 124531,   75.4,  5.163,
2230200209, 070810, 124211,  100.5,  3.882,
2230200206, 070810, 123831,  125.7,  3.308,
2240200220, 080710, 122246,    6.0,  4.979,
2240200217, 080710, 121914,   24.9,  4.922,
2240200214, 080710, 121643,   45.1,  4.865,
2240200211, 080710, 121359,   75.4,  4.915,
2240200208, 080710, 121117,  100.2,  4.962,
2240200205, 080710, 120848,  125.1,  4.531,
2250200220, 090310, 123611,    6.6,  5.331,
2250200217, 090310, 123307,   25.0,  5.191,
2250200214, 090310, 123049,   45.0,  5.280,
2250200211, 090310, 122817,   75.3,  5.345,
2250200208, 090310, 122539,  100.3,  3.830,
2250200205, 090310, 122309,  124.5,  2.944,
2250200204, 090310, 122104,  149.9,  3.138,
2260200220, 100310, 120503,    5.7,  4.590,
2260200217, 100310, 120223,   24.5,  5.843,
2260200214, 100310, 115929,   45.5,  5.965,
2260200211, 100310, 115619,   76.0,  5.094,
2260200208, 100310, 115323,  100.8,  4.464,
2260200205, 100310, 115038,  126.0,  2.820,
