Hawaii Ocean Time-series : 05-Sep-2023 03:23:28
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, sil, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0040200107, 022789, 222523,   98.4,   0.83,
0040200106, 022789, 222414,  108.2,   1.12,
0040200105, 022789, 222308,  118.3,   0.73,
0040200104, 022789, 222155,  131.3,   1.12,
0040200103, 022789, 222047,  141.4,   1.51,
0040200608, 022889, 151314,    5.8,   0.73,
0040200607, 022889, 151025,   22.1,   0.54,
0040200606, 022889, 150904,   41.8,   1.71,
0040200605, 022889, 150732,   71.8,   1.32,
0040200604, 022889, 150544,   99.6,   0.73,
0040200603, 022889, 150425,  123.2,   2.10,
0040200712, 022889, 183446,   47.0,   0.93,
0040200711, 022889, 183223,  131.0,   1.71,
0050200512, 032789, 084159,   26.7,   2.01,
0050200511, 032789, 083916,  111.1,   1.43,
0050200510, 032789, 083730,  144.1,   1.62,
0050201612, 032989, 013558,   40.8,   2.01,
0050201611, 032989, 013329,   71.7,   1.82,
0050201610, 032989, 013210,   81.6,   1.03,
0050201608, 032989, 012906,  101.9,   1.23,
0050201607, 032989, 012749,  111.7,   2.21,
0050201606, 032989, 012623,  121.6,   1.82,
0050201605, 032989, 012510,  127.4,   1.62,
0050201604, 032989, 012401,  133.7,   1.62,
0050201603, 032989, 012213,  143.6,   2.99,
0060200412, 051889, 071227,   30.7,   2.10,
0060200411, 051889, 070912,   87.1,   2.10,
0060200410, 051889, 070530,  136.1,   3.27,
0060200512, 051889, 094945,    4.5,   1.51,
0060200511, 051889, 094706,   19.5,   1.32,
0060200510, 051889, 094545,   39.4,   2.49,
0060200509, 051889, 093852,   59.4,   1.51,
0060200508, 051889, 093731,   79.0,   1.71,
0060200507, 051889, 093620,   99.0,   2.49,
0060200506, 051889, 093510,  108.7,   3.37,
0060200505, 051889, 092909,  119.1,   3.08,
0060200504, 051889, 092802,  129.0,   3.27,
0060200503, 051889, 092657,  139.8,   3.47,
0070200212, 062489, 033608,   15.3,   0.92,
0070200211, 062489, 033327,   79.6,   0.92,
0070200210, 062489, 033200,   99.5,   1.30,
0070200209, 062489, 032536,  139.5,   1.30,
0070200311, 062489, 071006,   49.1,   1.30,
0070200310, 062489, 070604,  127.6,   1.30,
0080200212, 072889, 230359,   54.3,   0.90,
0080200211, 072889, 230228,   98.5,   0.90,
0080200210, 072889, 230037,  148.5,   1.65,
0080200512, 072989, 073217,    5.6,   1.46,
0080200511, 072989, 073023,   27.4,   1.52,
0080200510, 072989, 072902,   46.8,   2.22,
0080200509, 072989, 072744,   61.7,   1.28,
0080200508, 072989, 072620,   77.3,   1.28,
0080200507, 072989, 072441,   87.8,   1.28,
0080200506, 072989, 072254,   98.5,   1.84,
0080200505, 072989, 072146,  109.3,   1.84,
0080200504, 072989, 072025,  119.2,   1.28,
0080200503, 072989, 071851,  130.5,   1.28,
0090200311, 082389, 235926,   59.9,   0.14,
0090200310, 082389, 235712,   91.6,  -0.05,
0090200309, 082389, 235513,  139.3,   0.32,
0090200512, 082489, 055807,    4.8,   2.24,
0090200511, 082489, 055554,   25.8,   1.25,
0090200510, 082489, 055423,   45.8,   1.62,
0090200509, 082489, 055301,   61.6,   1.25,
0090200508, 082489, 055147,   76.1,   1.25,
0090200507, 082489, 055035,   87.3,   0.88,
0090200506, 082489, 054928,   97.4,   1.06,
0090200505, 082489, 054759,  109.0,   1.25,
0090200504, 082489, 054656,  118.0,   1.25,
0090200503, 082489, 054551,  130.5,   1.06,
0100200424, 092289, 073241,    7.2,   0.76,
0100200423, 092289, 072812,   86.7,   0.76,
0100200422, 092289, 072704,   96.6,   0.56,
0100200421, 092289, 072558,  108.3,   0.56,
0100200420, 092289, 072457,  123.4,   0.76,
0100200419, 092289, 072355,  132.9,   0.76,
0100200418, 092289, 072252,  143.8,   1.79,
0100201223, 092389, 102511,    6.3,   1.17,
0100201222, 092389, 102346,   26.5,   0.76,
0100201221, 092389, 102210,   47.4,   0.97,
0100201220, 092389, 102110,   63.2,   0.56,
0100201219, 092389, 102006,   79.0,   0.56,
0100201217, 092389, 101821,   98.6,   1.10,
0100201216, 092389, 101728,  111.2,   0.56,
0100201215, 092389, 101631,  119.9,   0.97,
0100201214, 092389, 101503,  131.7,   1.17,
0110200322, 101889, 063217,   26.3,   0.15,
0110200319, 101889, 062828,  118.1,   0.35,
0110200318, 101889, 062736,  133.3,   0.35,
0110201617, 101989, 214946,    4.8,   1.76,
0110201616, 101989, 214725,   25.5,   1.55,
0110201615, 101989, 214629,   45.4,   2.75,
0110201614, 101989, 214545,   61.7,   2.35,
0110201613, 101989, 214504,   76.4,   1.36,
0110201612, 101989, 214425,   86.7,   2.16,
