Hawaii Ocean Time-series : 05-Sep-2023 22:50:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0130200521, 010590, 084421,   12.3,   4.46,
0130200519, 010590, 084005,   26.7,   3.97,
0140201223, 021690, 174137,    4.2,   4.65,
0140201222, 021690, 174024,   14.0,   5.20,
0140201221, 021690, 173923,   24.9,   5.58,
0140201220, 021690, 173834,   34.9,   5.02,
0140201219, 021690, 173743,   45.9,   5.63,
0140201218, 021690, 173651,   60.8,   4.83,
0140201217, 021690, 173556,   75.6,   5.85,
0140201216, 021690, 173508,   85.3,   5.44,
0140201215, 021690, 173419,   96.4,   4.12,
0140201214, 021690, 173327,  105.9,   4.90,
0140201213, 021690, 173238,  115.6,   5.24,
0140201212, 021690, 173151,  125.4,   4.24,
0140201211, 021690, 173058,  135.7,   3.64,
0150200623, 031990, 082925,  116.7,   4.85,
0150200622, 031990, 082816,  126.9,   3.30,
0150200621, 031990, 082706,  137.2,   3.22,
0150200713, 031990, 114727,    5.6,   3.39,
0150200712, 031990, 114631,   15.7,   3.91,
0150200711, 031990, 114529,   25.5,   4.40,
0150200710, 031990, 114432,   35.1,   4.63,
0150200709, 031990, 114336,   45.3,   3.86,
0150200708, 031990, 114227,   60.6,   3.65,
0150200707, 031990, 114116,   75.1,   4.12,
0150200706, 031990, 114005,   87.1,   4.10,
0150200705, 031990, 113852,   99.0,   3.84,
0150200704, 031990, 113734,  110.0,   4.56,
0160200623, 041390, 061646,   81.5,   3.85,
0160200622, 041390, 061446,  117.3,   3.58,
0160200621, 041390, 061327,  128.7,   4.15,
0160200620, 041390, 061157,  137.0,   3.56,
0160200714, 041390, 091344,    6.3,   4.76,
0160200713, 041390, 091248,   16.6,   4.94,
0160200712, 041390, 091158,   25.7,   4.56,
0160200710, 041390, 091046,   36.9,   5.42,
0160200709, 041390, 091000,   45.9,   4.39,
0160200708, 041390, 090901,   61.8,   4.33,
0160200707, 041390, 090806,   61.8,   4.92,
0160200706, 041390, 090709,   78.0,   4.33,
0160200705, 041390, 090614,   98.5,   5.37,
0160200704, 041390, 090513,  108.8,   4.66,
0170200523, 050990, 050946,    6.2,   3.78,
0170200520, 050990, 050727,   26.9,   3.89,
0170200518, 050990, 050615,   36.8,   4.15,
0170200517, 050990, 050442,   46.4,   4.05,
0170200516, 050990, 050338,   62.7,   4.08,
0170200515, 050990, 050235,   77.4,   3.82,
0170200514, 050990, 050140,   87.4,   3.78,
0170200513, 050990, 050027,   97.9,   3.77,
0170200512, 050990, 045923,  106.8,   3.70,
0170200511, 050990, 045819,  118.0,   3.67,
0170200510, 050990, 045652,  129.9,   4.30,
0170200509, 050990, 045459,  137.0,   3.47,
0180200522, 061390, 071330,    5.2,   4.57,
0180200520, 061390, 071021,   26.2,   4.05,
0180200518, 061390, 070904,   35.1,   4.13,
0180200517, 061390, 070813,   45.6,   4.33,
0180200516, 061390, 070703,   60.7,   4.13,
0180200515, 061390, 070606,   76.0,   4.36,
0180200513, 061390, 070415,   96.7,   4.02,
0180200512, 061390, 070321,  106.9,   4.05,
0180200511, 061390, 070223,  117.2,   4.00,
0180200510, 061390, 070127,  127.1,   3.06,
0180200509, 061390, 070024,  137.2,   3.90,
0190200620, 072590, 095515,    4.7,   5.52,
0190200618, 072590, 095128,   26.5,   5.24,
0190200617, 072590, 094952,   36.8,   5.71,
0190200616, 072590, 094838,   46.3,   5.62,
0190200615, 072590, 094647,   61.7,   5.74,
0190200614, 072590, 094530,   77.4,   5.60,
0190200613, 072590, 094410,   87.2,   5.52,
0190200612, 072590, 094244,   97.1,   5.35,
0190200610, 072590, 094009,  117.5,   4.84,
0190200608, 072590, 093610,  137.5,   4.58,
0220200422, 121890, 044140,  118.8,   5.67,
0220200421, 121890, 044047,  129.9,   5.05,
0220200420, 121890, 043950,  139.3,   4.30,
0220200523, 121890, 075016,    7.0,   4.90,
0220200521, 121890, 074904,   14.9,   5.02,
0220200520, 121890, 074741,   27.0,   5.11,
0220200518, 121890, 074554,   45.8,   5.69,
0220200517, 121890, 074452,   45.8,   5.13,
0220200516, 121890, 074348,   61.9,   5.12,
0220200515, 121890, 074258,   76.5,   5.71,
0220200514, 121890, 074208,   86.0,   5.06,
0220200513, 121890, 074113,   96.2,   5.15,
0220200512, 121890, 074032,  106.2,   5.69,
0220200510, 121890, 073855,  116.6,   5.24,
0220200508, 121890, 073700,  128.0,   4.99,
0230200323, 020391, 081547,    6.0,   5.21,
0230200320, 020391, 081311,   26.1,   5.27,
0230200318, 020391, 081152,   36.0,   4.85,
0230200317, 020391, 081055,   49.6,   4.72,
0230200316, 020391, 080922,   62.1,   4.85,
0230200315, 020391, 080754,   75.6,   5.00,
0230200314, 020391, 080650,   88.4,   4.80,
0230200313, 020391, 080536,   99.1,   5.97,
0230200312, 020391, 080427,  107.3,   5.77,
0230200311, 020391, 080314,  118.2,   5.24,
0230200310, 020391, 080211,  128.5,   5.77,
0230200309, 020391, 080056,  139.0,   5.01,
0240200123, 030691, 203200,    5.4,   5.20,
0240200120, 030691, 202900,   19.1,   6.41,
0240200118, 030691, 202700,   36.8,   4.91,
0240200117, 030691, 202600,   39.7,   4.72,
0240200116, 030691, 202100,   63.7,   4.83,
0240200115, 030691, 201900,   78.9,   5.08,
0240200114, 030691, 201800,   86.2,   5.81,
0240200113, 030691, 201700,   94.7,   5.44,
0240200112, 030691, 201600,  105.3,   5.20,
0240200111, 030691, 201500,  117.6,   4.76,
0240200110, 030691, 201300,  126.5,   4.95,
0240200109, 030691, 201100,  139.2,   5.37,
